seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,4303.547,0,0.000,0.000,0.000,0.000,0.000,1.306
L1_SingleMuOpen,4303.137,57000,0.074,0.046,0.074,0.046,0.074,1.306
L1_SingleMuCosmics_BMTF,282.386,0,0.000,0.000,0.000,0.000,0.000,1.335
L1_SingleMuCosmics_OMTF,332.898,0,0.000,0.000,0.000,0.000,0.000,1.336
L1_SingleMuCosmics_EMTF,3785.174,0,0.000,0.000,0.000,0.000,0.000,1.308
L1_SingleMu0_BMTF,282.386,0,0.000,0.000,0.000,0.000,0.000,1.335
L1_SingleMu0_OMTF,187.569,0,0.000,0.000,0.000,0.000,0.000,1.344
L1_SingleMu0_EMTF,1999.415,0,0.000,0.000,0.000,0.000,0.000,1.297
L1_SingleMu3,1464.516,20000,0.037,0.033,0.037,0.033,0.037,1.321
L1_SingleMu5,452.301,6000,0.038,0.033,0.038,0.033,0.038,1.340
L1_SingleMu7,180.700,2400,0.038,0.033,0.000,0.000,0.010,1.350
L1_SingleMu10_LowQ,84.426,1100,0.039,0.033,0.039,0.033,0.039,1.379
L1_SingleMu11_LowQ,65.845,0,0.000,0.000,0.000,0.000,0.000,1.383
L1_SingleMu12_LowQ_BMTF,8.674,0,0.000,0.000,0.000,0.000,0.000,1.336
L1_SingleMu12_LowQ_OMTF,11.878,0,0.000,0.000,0.000,0.000,0.000,1.360
L1_SingleMu12_LowQ_EMTF,35.312,0,0.000,0.000,0.000,0.000,0.000,1.407
L1_SingleMu16,19.031,0,0.000,0.000,0.000,0.000,0.000,1.387
L1_SingleMu18,14.266,190,0.040,0.033,0.000,0.000,0.010,1.394
L1_SingleMu20,11.630,0,0.000,0.000,0.000,0.000,0.000,1.395
L1_SingleMu22,9.315,1,9.315,0.514,0.277,0.089,2.804,1.398
L1_SingleMu22_BMTF,2.045,0,0.000,0.000,0.000,0.000,0.000,1.336
L1_SingleMu22_OMTF,2.905,0,0.000,0.000,0.000,0.000,0.000,1.385
L1_SingleMu22_EMTF,4.348,0,0.000,0.000,0.000,0.000,0.000,1.433
L1_SingleMu25,7.590,1,7.590,0.464,0.000,0.000,1.905,1.402
L1_SingleMu30,4.822,1,4.822,0.370,0.000,0.000,1.102,1.406
L1_SingleMu14er2p1,22.772,0,0.000,0.000,0.000,0.000,0.000,1.368
L1_SingleMu16er2p1,16.308,0,0.000,0.000,0.000,0.000,0.000,1.373
L1_SingleMu18er2p1,12.116,0,0.000,0.000,0.000,0.000,0.000,1.379
L1_SingleMu20er2p1,9.790,0,0.000,0.000,0.000,0.000,0.000,1.381
L1_SingleMu22er2p1,7.819,1,7.819,0.471,0.000,0.000,2.103,1.386
L1_DoubleMu0,333.961,0,0.000,0.000,0.000,0.000,0.000,1.644
L1_DoubleMu_11_4,4.871,0,0.000,0.000,0.000,0.000,0.000,1.576
L1_DoubleMu_12_5,2.970,0,0.000,0.000,0.000,0.000,0.000,1.541
L1_DoubleMu_12_8,0.957,0,0.000,0.000,0.000,0.000,0.000,1.468
L1_DoubleMu_13_6,1.892,0,0.000,0.000,0.000,0.000,0.000,1.517
L1_DoubleMu_15_5,1.840,0,0.000,0.000,0.000,0.000,0.000,1.545
L1_DoubleMu_15_7,0.976,1,0.976,0.166,0.170,0.069,0.298,1.496
L1_DoubleMu18er2p1,0.077,1,0.077,0.047,0.000,0.000,0.009,1.352
L1_DoubleMu22er2p1,0.076,1,0.076,0.046,0.000,0.000,0.009,1.333
L1_TripleMu0,22.431,0,0.000,0.000,0.000,0.000,0.000,1.988
L1_TripleMu3,3.356,0,0.000,0.000,0.000,0.000,0.000,1.910
L1_TripleMu_4_4_4,0.864,1,0.864,0.157,0.051,0.038,0.243,1.794
L1_TripleMu_5_0_0,7.972,0,0.000,0.000,0.000,0.000,0.000,1.994
L1_TripleMu_5_3_3,1.994,1,1.994,0.238,0.000,0.000,0.562,1.901
L1_TripleMu_5_5_3,1.091,1,1.091,0.176,0.000,0.000,0.220,1.833
L1_QuadMu0,1.567,0,0.000,0.000,0.000,0.000,0.000,2.403
L1_SingleEG5,14296.761,190000,0.040,0.034,0.040,0.034,0.040,1.399
L1_SingleEG10,2429.727,32000,0.041,0.034,0.041,0.034,0.041,1.452
L1_SingleEG15,571.544,7600,0.041,0.034,0.041,0.034,0.041,1.461
L1_SingleEG18,195.007,0,0.000,0.000,0.000,0.000,0.000,1.537
L1_SingleEG24,63.507,0,0.000,0.000,0.000,0.000,0.000,1.488
L1_SingleEG26,49.445,660,0.042,0.035,0.042,0.035,0.042,1.492
L1_SingleEG28,37.535,0,0.000,0.000,0.000,0.000,0.000,1.493
L1_SingleEG30,29.522,0,0.000,0.000,0.000,0.000,0.000,1.494
L1_SingleEG32,22.596,0,0.000,0.000,0.000,0.000,0.000,1.493
L1_SingleEG34,18.787,0,0.000,0.000,0.000,0.000,0.000,1.496
L1_SingleEG36,14.950,0,0.000,0.000,0.000,0.000,0.000,1.486
L1_SingleEG38,12.701,1,12.701,0.600,0.422,0.109,1.876,1.488
L1_SingleEG40,10.957,1,10.957,0.557,0.000,0.000,1.078,1.492
L1_SingleEG42,8.939,1,8.939,0.503,0.000,0.000,0.654,1.494
L1_SingleEG45,7.317,1,7.317,0.455,0.000,0.000,0.428,1.501
L1_SingleEG50,5.163,1,5.163,0.383,0.000,0.000,0.220,1.505
L1_SingleEG34er2p1,13.366,0,0.000,0.000,0.000,0.000,0.000,1.502
L1_SingleEG36er2p1,10.604,0,0.000,0.000,0.000,0.000,0.000,1.496
L1_SingleEG38er2p1,8.960,1,8.960,0.504,0.000,0.000,0.782,1.491
L1_SingleIsoEG18,29.041,0,0.000,0.000,0.000,0.000,0.000,1.171
L1_SingleIsoEG20,23.137,0,0.000,0.000,0.000,0.000,0.000,1.235
L1_SingleIsoEG22,19.838,0,0.000,0.000,0.000,0.000,0.000,1.284
L1_SingleIsoEG24,18.046,0,0.000,0.000,0.000,0.000,0.000,1.346
L1_SingleIsoEG26,16.896,0,0.000,0.000,0.000,0.000,0.000,1.393
L1_SingleIsoEG28,14.574,0,0.000,0.000,0.000,0.000,0.000,1.416
L1_SingleIsoEG30,13.488,0,0.000,0.000,0.000,0.000,0.000,1.442
L1_SingleIsoEG32,12.052,1,12.052,0.585,0.041,0.034,0.878,1.461
L1_SingleIsoEG34,11.072,1,11.072,0.560,0.000,0.000,0.642,1.474
L1_SingleIsoEG35,10.483,1,10.483,0.545,0.000,0.000,0.576,1.467
L1_SingleIsoEG36,9.866,1,9.866,0.529,0.000,0.000,0.500,1.468
L1_SingleIsoEG37,9.591,1,9.591,0.521,0.000,0.000,0.472,1.465
L1_SingleIsoEG38,9.274,1,9.274,0.513,0.000,0.000,0.446,1.474
L1_SingleIsoEG40,8.709,1,8.709,0.497,0.000,0.000,0.408,1.477
L1_SingleIsoEG18er2p1,24.256,0,0.000,0.000,0.000,0.000,0.000,1.210
L1_SingleIsoEG20er2p1,19.055,0,0.000,0.000,0.000,0.000,0.000,1.298
L1_SingleIsoEG22er2p1,16.770,0,0.000,0.000,0.000,0.000,0.000,1.360
L1_SingleIsoEG24er2p1,15.109,0,0.000,0.000,0.000,0.000,0.000,1.402
L1_SingleIsoEG26er2p1,14.311,190,0.041,0.034,0.000,0.000,0.003,1.459
L1_SingleIsoEG28er2p1,12.302,160,0.042,0.035,0.000,0.000,0.002,1.481
L1_SingleIsoEG30er2p1,11.402,1,11.402,0.569,0.468,0.115,1.274,1.501
L1_SingleIsoEG32er2p1,10.154,1,10.154,0.537,0.000,0.000,0.621,1.518
L1_SingleIsoEG33er2p1,9.598,1,9.598,0.522,0.000,0.000,0.495,1.518
L1_SingleIsoEG34er2p1,9.163,1,9.163,0.510,0.000,0.000,0.440,1.518
L1_SingleIsoEG35er2p1,8.683,1,8.683,0.496,0.000,0.000,0.391,1.516
L1_SingleIsoEG36er2p1,8.254,1,8.254,0.484,0.000,0.000,0.355,1.517
L1_SingleIsoEG38er2p1,7.705,1,7.705,0.467,0.000,0.000,0.317,1.510
L1_SingleIsoEG40er2p1,7.177,1,7.177,0.451,0.000,0.000,0.287,1.507
L1_IsoEG33_Mt40,9.400,1,9.400,0.516,0.000,0.000,0.534,1.467
L1_IsoEG33_Mt44,9.238,1,9.238,0.512,0.000,0.000,0.523,1.468
L1_IsoEG33_Mt48,8.902,1,8.902,0.502,0.000,0.000,0.505,1.467
L1_DoubleEG_15_10,67.321,0,0.000,0.000,0.000,0.000,0.000,2.018
L1_DoubleEG_18_17,4.474,0,0.000,0.000,0.000,0.000,0.000,1.793
L1_DoubleEG_20_18,2.860,0,0.000,0.000,0.000,0.000,0.000,1.740
L1_DoubleEG_22_10,15.850,0,0.000,0.000,0.000,0.000,0.000,1.921
L1_DoubleEG_22_12,10.615,0,0.000,0.000,0.000,0.000,0.000,1.863
L1_DoubleEG_22_15,5.470,0,0.000,0.000,0.000,0.000,0.000,1.820
L1_DoubleEG_23_10,14.269,0,0.000,0.000,0.000,0.000,0.000,1.914
L1_DoubleEG_24_17,2.604,1,2.604,0.272,0.197,0.075,0.613,1.733
L1_DoubleEG_25_12,7.954,1,7.954,0.475,0.628,0.133,2.342,1.846
L1_DoubleEG_25_13,6.225,1,6.225,0.420,0.000,0.000,1.434,1.830
L1_DoubleEG_25_14,4.764,1,4.764,0.368,0.000,0.000,0.928,1.807
L1_DoubleLooseIsoEG22er2p1,0.155,1,0.155,0.066,0.000,0.000,0.004,1.371
