seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,3319.614,0,0.000,0.000,0.000,0.000,0.000,1.007
L1_SingleMuOpen,3319.328,45000,0.057,0.040,0.057,0.040,0.057,1.007
L1_SingleMuCosmics_BMTF,213.177,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMuCosmics_OMTF,251.143,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMuCosmics_EMTF,2914.159,0,0.000,0.000,0.000,0.000,0.000,1.007
L1_SingleMu0_BMTF,213.177,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu0_OMTF,140.645,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu0_EMTF,1551.977,0,0.000,0.000,0.000,0.000,0.000,1.007
L1_SingleMu3,1117.057,15000,0.057,0.040,0.057,0.040,0.057,1.007
L1_SingleMu5,340.008,4500,0.057,0.040,0.057,0.040,0.057,1.008
L1_SingleMu7,134.944,1800,0.057,0.040,0.029,0.028,0.044,1.008
L1_SingleMu10_LowQ,61.717,820,0.057,0.040,0.057,0.040,0.057,1.008
L1_SingleMu11_LowQ,48.027,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu12_LowQ_BMTF,6.541,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu12_LowQ_OMTF,8.802,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu12_LowQ_EMTF,25.311,0,0.000,0.000,0.000,0.000,0.000,1.009
L1_SingleMu16,13.837,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu18,10.322,140,0.057,0.040,0.000,0.000,0.010,1.009
L1_SingleMu20,8.406,1,8.406,0.488,0.086,0.049,1.361,1.009
L1_SingleMu22,6.720,1,6.720,0.436,0.000,0.000,0.901,1.009
L1_SingleMu22_BMTF,1.542,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu22_OMTF,2.115,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu22_EMTF,3.062,0,0.000,0.000,0.000,0.000,0.000,1.009
L1_SingleMu25,5.462,1,5.462,0.393,0.000,0.000,0.678,1.009
L1_SingleMu30,3.460,1,3.460,0.313,0.000,0.000,0.417,1.009
L1_SingleMu14er2p1,16.777,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu16er2p1,11.976,0,0.000,0.000,0.000,0.000,0.000,1.008
L1_SingleMu18er2p1,8.861,1,8.861,0.501,0.372,0.103,1.723,1.008
