seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,1866.721,0,0.000,0.000,0.000,0.000,0.000,0.566
L1_SingleMuOpen,1866.584,25000,0.064,0.043,0.064,0.043,0.064,0.566
L1_SingleMuCosmics_BMTF,116.165,0,0.000,0.000,0.000,0.000,0.000,0.549
L1_SingleMuCosmics_OMTF,136.784,0,0.000,0.000,0.000,0.000,0.000,0.549
L1_SingleMuCosmics_EMTF,1634.294,0,0.000,0.000,0.000,0.000,0.000,0.565
L1_SingleMu0_BMTF,116.165,0,0.000,0.000,0.000,0.000,0.000,0.549
L1_SingleMu0_OMTF,75.935,0,0.000,0.000,0.000,0.000,0.000,0.544
L1_SingleMu0_EMTF,878.576,0,0.000,0.000,0.000,0.000,0.000,0.570
L1_SingleMu3,618.433,8300,0.063,0.042,0.063,0.042,0.063,0.558
L1_SingleMu5,184.279,2500,0.062,0.042,0.062,0.042,0.062,0.546
L1_SingleMu7,72.440,970,0.061,0.042,0.061,0.042,0.061,0.541
L1_SingleMu10_LowQ,32.164,430,0.074,0.046,0.045,0.036,0.051,0.526
L1_SingleMu11_LowQ,24.925,0,0.000,0.000,0.000,0.000,0.000,0.523
L1_SingleMu12_LowQ_BMTF,3.564,0,0.000,0.000,0.000,0.000,0.000,0.549
L1_SingleMu12_LowQ_OMTF,4.693,0,0.000,0.000,0.000,0.000,0.000,0.537
L1_SingleMu12_LowQ_EMTF,12.781,0,0.000,0.000,0.000,0.000,0.000,0.509
L1_SingleMu16,7.174,1,7.174,0.451,0.193,0.074,1.246,0.523
L1_SingleMu18,5.321,1,5.321,0.388,0.000,0.000,0.601,0.520
L1_SingleMu20,4.324,1,4.324,0.350,0.000,0.000,0.431,0.519
L1_SingleMu22,3.446,1,3.446,0.313,0.000,0.000,0.312,0.517
L1_SingleMu22_BMTF,0.843,0,0.000,0.000,0.000,0.000,0.000,0.550
L1_SingleMu22_OMTF,1.106,0,0.000,0.000,0.000,0.000,0.000,0.527
L1_SingleMu22_EMTF,1.501,0,0.000,0.000,0.000,0.000,0.000,0.495
L1_SingleMu25,2.793,1,2.793,0.281,0.000,0.000,0.241,0.516
L1_SingleMu30,1.762,1,1.762,0.224,0.000,0.000,0.148,0.514
L1_SingleMu14er2p1,8.855,1,8.855,0.501,2.127,0.246,3.119,0.532
L1_SingleMu16er2p1,6.294,1,6.294,0.422,0.000,0.000,0.896,0.530
L1_SingleMu18er2p1,4.636,1,4.636,0.363,0.000,0.000,0.448,0.528
L1_SingleMu20er2p1,3.729,1,3.729,0.325,0.000,0.000,0.319,0.526
L1_SingleMu22er2p1,2.958,1,2.958,0.290,0.000,0.000,0.230,0.524
L1_DoubleMu0,75.982,0,0.000,0.000,0.000,0.000,0.000,0.374
L1_DoubleMu_11_4,1.307,1,1.307,0.192,0.144,0.064,0.325,0.423
L1_DoubleMu_12_5,0.855,1,0.855,0.156,0.000,0.000,0.109,0.444
L1_DoubleMu_12_8,0.313,1,0.313,0.094,0.000,0.000,0.032,0.481
L1_DoubleMu_13_6,0.569,1,0.569,0.127,0.000,0.000,0.058,0.456
L1_DoubleMu_15_5,0.526,1,0.526,0.122,0.000,0.000,0.050,0.442
