seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,2872.468,0,0.000,0.000,0.000,0.000,0.000,0.871
L1_SingleMuOpen,2872.232,38000,0.074,0.046,0.074,0.046,0.074,0.871
L1_SingleMuCosmics_BMTF,182.703,0,0.000,0.000,0.000,0.000,0.000,0.864
L1_SingleMuCosmics_OMTF,215.189,0,0.000,0.000,0.000,0.000,0.000,0.863
L1_SingleMuCosmics_EMTF,2519.515,0,0.000,0.000,0.000,0.000,0.000,0.871
L1_SingleMu0_BMTF,182.703,0,0.000,0.000,0.000,0.000,0.000,0.864
L1_SingleMu0_OMTF,120.184,0,0.000,0.000,0.000,0.000,0.000,0.861
L1_SingleMu0_EMTF,1346.244,0,0.000,0.000,0.000,0.000,0.000,0.873
L1_SingleMu3,961.878,13000,0.074,0.046,0.074,0.046,0.074,0.867
L1_SingleMu5,290.878,3900,0.073,0.046,0.049,0.037,0.052,0.862
L1_SingleMu7,115.105,1600,0.049,0.037,0.049,0.037,0.049,0.860
L1_SingleMu10_LowQ,52.148,700,0.072,0.045,0.048,0.037,0.061,0.852
L1_SingleMu11_LowQ,40.535,0,0.000,0.000,0.000,0.000,0.000,0.851
L1_SingleMu12_LowQ_BMTF,5.605,0,0.000,0.000,0.000,0.000,0.000,0.863
L1_SingleMu12_LowQ_OMTF,7.485,0,0.000,0.000,0.000,0.000,0.000,0.857
L1_SingleMu12_LowQ_EMTF,21.188,0,0.000,0.000,0.000,0.000,0.000,0.845
L1_SingleMu16,11.667,0,0.000,0.000,0.000,0.000,0.000,0.850
L1_SingleMu18,8.685,115,0.072,0.045,0.000,0.000,0.015,0.849
L1_SingleMu20,7.069,1,7.069,0.448,0.072,0.045,1.152,0.848
L1_SingleMu22,5.646,1,5.646,0.400,0.000,0.000,0.759,0.847
L1_SingleMu22_BMTF,1.322,0,0.000,0.000,0.000,0.000,0.000,0.864
L1_SingleMu22_OMTF,1.786,0,0.000,0.000,0.000,0.000,0.000,0.851
L1_SingleMu22_EMTF,2.541,0,0.000,0.000,0.000,0.000,0.000,0.838
L1_SingleMu25,4.584,1,4.584,0.360,0.000,0.000,0.569,0.847
L1_SingleMu30,2.901,1,2.901,0.287,0.000,0.000,0.351,0.846
L1_SingleMu14er2p1,14.228,0,0.000,0.000,0.000,0.000,0.000,0.855
L1_SingleMu16er2p1,10.142,0,0.000,0.000,0.000,0.000,0.000,0.854
L1_SingleMu18er2p1,7.492,1,7.492,0.461,0.314,0.094,1.468,0.852
L1_SingleMu20er2p1,6.037,1,6.037,0.414,0.000,0.000,0.819,0.852
L1_SingleMu22er2p1,4.799,1,4.799,0.369,0.000,0.000,0.550,0.851
L1_DoubleMu0,158.738,0,0.000,0.000,0.000,0.000,0.000,0.781
L1_DoubleMu_11_4,2.476,1,2.476,0.265,0.432,0.111,0.838,0.801
L1_DoubleMu_12_5,1.563,1,1.563,0.211,0.000,0.000,0.270,0.811
L1_DoubleMu_12_8,0.541,1,0.541,0.124,0.000,0.000,0.066,0.829
L1_DoubleMu_13_6,1.019,1,1.019,0.170,0.000,0.000,0.132,0.817
L1_DoubleMu_15_5,0.964,1,0.964,0.165,0.000,0.000,0.111,0.810
L1_DoubleMu_15_7,0.536,1,0.536,0.123,0.000,0.000,0.045,0.822
L1_DoubleMu18er2p1,0.049,1,0.049,0.037,0.000,0.000,0.003,0.860
L1_DoubleMu22er2p1,0.049,1,0.049,0.037,0.000,0.000,0.003,0.864
L1_TripleMu0,8.033,0,0.000,0.000,0.000,0.000,0.000,0.712
L1_TripleMu3,1.285,1,1.285,0.191,0.187,0.073,0.464,0.731
L1_TripleMu_4_4_4,0.363,1,0.363,0.102,0.000,0.000,0.059,0.754
L1_TripleMu_5_0_0,2.852,1,2.852,0.284,1.436,0.202,1.763,0.714
