seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,3836.860,0,0.000,0.000,0.000,0.000,0.000,1.164
L1_SingleMuOpen,3836.511,51000,0.066,0.043,0.066,0.043,0.066,1.164
L1_SingleMuCosmics_BMTF,249.175,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleMuCosmics_OMTF,293.648,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleMuCosmics_EMTF,3371.577,0,0.000,0.000,0.000,0.000,0.000,1.165
L1_SingleMu0_BMTF,249.175,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleMu0_OMTF,164.972,0,0.000,0.000,0.000,0.000,0.000,1.182
L1_SingleMu0_EMTF,1788.135,0,0.000,0.000,0.000,0.000,0.000,1.160
L1_SingleMu3,1298.641,17000,0.066,0.043,0.066,0.043,0.066,1.171
L1_SingleMu5,398.290,5300,0.067,0.044,0.067,0.044,0.067,1.180
L1_SingleMu7,158.622,2100,0.067,0.044,0.067,0.044,0.067,1.185
L1_SingleMu10_LowQ,73.359,980,0.068,0.044,0.034,0.031,0.043,1.199
L1_SingleMu11_LowQ,57.155,0,0.000,0.000,0.000,0.000,0.000,1.200
L1_SingleMu12_LowQ_BMTF,7.650,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleMu12_LowQ_OMTF,10.387,0,0.000,0.000,0.000,0.000,0.000,1.190
L1_SingleMu12_LowQ_EMTF,30.402,0,0.000,0.000,0.000,0.000,0.000,1.212
L1_SingleMu16,16.493,0,0.000,0.000,0.000,0.000,0.000,1.202
L1_SingleMu18,12.334,170,0.068,0.044,0.000,0.000,0.006,1.205
L1_SingleMu20,10.051,0,0.000,0.000,0.000,0.000,0.000,1.206
L1_SingleMu22,8.043,1,8.043,0.477,0.205,0.076,1.841,1.207
L1_SingleMu22_BMTF,1.804,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleMu22_OMTF,2.519,0,0.000,0.000,0.000,0.000,0.000,1.201
L1_SingleMu22_EMTF,3.713,0,0.000,0.000,0.000,0.000,0.000,1.224
L1_SingleMu25,6.546,1,6.546,0.431,0.000,0.000,1.292,1.209
L1_SingleMu30,4.153,1,4.153,0.343,0.000,0.000,0.755,1.211
L1_SingleMu14er2p1,19.859,0,0.000,0.000,0.000,0.000,0.000,1.193
L1_SingleMu16er2p1,14.200,0,0.000,0.000,0.000,0.000,0.000,1.195
L1_SingleMu18er2p1,10.529,0,0.000,0.000,0.000,0.000,0.000,1.198
L1_SingleMu20er2p1,8.500,1,8.500,0.491,0.782,0.149,2.460,1.199
L1_SingleMu22er2p1,6.778,1,6.778,0.438,0.000,0.000,1.277,1.201
L1_DoubleMu0,268.741,0,0.000,0.000,0.000,0.000,0.000,1.323
L1_DoubleMu_11_4,3.987,0,0.000,0.000,0.000,0.000,0.000,1.290
L1_DoubleMu_12_5,2.455,1,2.455,0.264,0.217,0.078,0.675,1.274
L1_DoubleMu_12_8,0.808,1,0.808,0.151,0.000,0.000,0.133,1.240
L1_DoubleMu_13_6,1.575,1,1.575,0.211,0.000,0.000,0.290,1.262
L1_DoubleMu_15_5,1.519,1,1.519,0.208,0.000,0.000,0.251,1.276
L1_DoubleMu_15_7,0.817,1,0.817,0.152,0.000,0.000,0.090,1.253
L1_DoubleMu18er2p1,0.067,1,0.067,0.044,0.000,0.000,0.005,1.186
L1_DoubleMu22er2p1,0.067,1,0.067,0.043,0.000,0.000,0.005,1.177
L1_TripleMu0,16.606,0,0.000,0.000,0.000,0.000,0.000,1.472
L1_TripleMu3,2.524,0,0.000,0.000,0.000,0.000,0.000,1.436
L1_TripleMu_4_4_4,0.668,1,0.668,0.138,0.039,0.033,0.181,1.386
L1_TripleMu_5_0_0,5.887,0,0.000,0.000,0.000,0.000,0.000,1.473
L1_TripleMu_5_3_3,1.502,1,1.502,0.206,0.000,0.000,0.401,1.432
L1_TripleMu_5_5_3,0.834,1,0.834,0.154,0.000,0.000,0.151,1.402
L1_QuadMu0,1.067,0,0.000,0.000,0.000,0.000,0.000,1.637
L1_SingleEG5,12212.364,163000,0.068,0.044,0.068,0.044,0.068,1.195
L1_SingleEG10,2036.527,27000,0.069,0.044,0.069,0.044,0.069,1.217
L1_SingleEG15,477.559,6400,0.069,0.044,0.069,0.044,0.069,1.221
L1_SingleEG18,158.145,0,0.000,0.000,0.000,0.000,0.000,1.246
L1_SingleEG24,52.275,0,0.000,0.000,0.000,0.000,0.000,1.224
L1_SingleEG26,40.634,540,0.070,0.044,0.035,0.031,0.037,1.226
L1_SingleEG28,30.877,0,0.000,0.000,0.000,0.000,0.000,1.228
L1_SingleEG30,24.253,0,0.000,0.000,0.000,0.000,0.000,1.227
L1_SingleEG32,18.576,0,0.000,0.000,0.000,0.000,0.000,1.227
L1_SingleEG34,15.424,0,0.000,0.000,0.000,0.000,0.000,1.228
L1_SingleEG36,12.326,1,12.326,0.591,0.347,0.099,1.724,1.225
L1_SingleEG38,10.464,1,10.464,0.545,0.000,0.000,0.968,1.226
L1_SingleEG40,9.019,1,9.019,0.506,0.000,0.000,0.630,1.228
L1_SingleEG42,7.357,1,7.357,0.457,0.000,0.000,0.400,1.230
L1_SingleEG45,6.020,1,6.020,0.413,0.000,0.000,0.268,1.235
L1_SingleEG50,4.247,1,4.247,0.347,0.000,0.000,0.136,1.238
L1_SingleEG34er2p1,11.019,0,0.000,0.000,0.000,0.000,0.000,1.238
L1_SingleEG36er2p1,8.759,1,8.759,0.498,0.000,0.000,0.789,1.236
L1_SingleEG38er2p1,7.419,1,7.419,0.459,0.000,0.000,0.407,1.234
L1_SingleIsoEG18,26.735,0,0.000,0.000,0.000,0.000,0.000,1.078
L1_SingleIsoEG20,20.698,0,0.000,0.000,0.000,0.000,0.000,1.105
L1_SingleIsoEG22,17.448,0,0.000,0.000,0.000,0.000,0.000,1.129
L1_SingleIsoEG24,15.504,0,0.000,0.000,0.000,0.000,0.000,1.156
L1_SingleIsoEG26,14.291,0,0.000,0.000,0.000,0.000,0.000,1.178
L1_SingleIsoEG28,12.232,1,12.232,0.589,0.270,0.087,1.242,1.189
L1_SingleIsoEG30,11.235,1,11.235,0.564,0.000,0.000,0.746,1.201
L1_SingleIsoEG32,9.986,1,9.986,0.532,0.000,0.000,0.488,1.211
L1_SingleIsoEG34,9.142,1,9.142,0.509,0.000,0.000,0.391,1.217
L1_SingleIsoEG35,8.677,1,8.677,0.496,0.000,0.000,0.354,1.215
L1_SingleIsoEG36,8.167,1,8.167,0.481,0.000,0.000,0.311,1.216
L1_SingleIsoEG37,7.959,1,7.959,0.475,0.000,0.000,0.296,1.215
L1_SingleIsoEG38,7.674,1,7.674,0.466,0.000,0.000,0.280,1.219
L1_SingleIsoEG40,7.205,1,7.205,0.452,0.000,0.000,0.257,1.222
L1_SingleIsoEG18er2p1,22.274,0,0.000,0.000,0.000,0.000,0.000,1.111
L1_SingleIsoEG20er2p1,16.838,0,0.000,0.000,0.000,0.000,0.000,1.147
L1_SingleIsoEG22er2p1,14.491,0,0.000,0.000,0.000,0.000,0.000,1.175
L1_SingleIsoEG24er2p1,12.871,0,0.000,0.000,0.000,0.000,0.000,1.195
L1_SingleIsoEG26er2p1,11.965,1,11.965,0.582,0.899,0.160,1.869,1.220
L1_SingleIsoEG28er2p1,10.211,1,10.211,0.538,0.000,0.000,0.726,1.229
L1_SingleIsoEG30er2p1,9.401,1,9.401,0.516,0.000,0.000,0.487,1.237
L1_SingleIsoEG32er2p1,8.325,1,8.325,0.486,0.000,0.000,0.342,1.244
L1_SingleIsoEG33er2p1,7.868,1,7.868,0.472,0.000,0.000,0.292,1.245
L1_SingleIsoEG34er2p1,7.514,1,7.514,0.462,0.000,0.000,0.265,1.244
L1_SingleIsoEG35er2p1,7.125,1,7.125,0.449,0.000,0.000,0.238,1.244
L1_SingleIsoEG36er2p1,6.773,1,6.773,0.438,0.000,0.000,0.217,1.244
L1_SingleIsoEG38er2p1,6.342,1,6.342,0.424,0.000,0.000,0.196,1.243
L1_SingleIsoEG40er2p1,5.912,1,5.912,0.409,0.000,0.000,0.178,1.241
L1_IsoEG33_Mt40,7.769,1,7.769,0.469,0.000,0.000,0.329,1.213
L1_IsoEG33_Mt44,7.634,1,7.634,0.465,0.000,0.000,0.322,1.213
L1_IsoEG33_Mt48,7.355,1,7.355,0.457,0.000,0.000,0.312,1.212
L1_DoubleEG_15_10,47.426,0,0.000,0.000,0.000,0.000,0.000,1.421
L1_DoubleEG_18_17,3.297,0,0.000,0.000,0.000,0.000,0.000,1.322
L1_DoubleEG_20_18,2.131,0,0.000,0.000,0.000,0.000,0.000,1.296
L1_DoubleEG_22_10,11.309,0,0.000,0.000,0.000,0.000,0.000,1.371
L1_DoubleEG_22_12,7.673,0,0.000,0.000,0.000,0.000,0.000,1.346
L1_DoubleEG_22_15,3.996,1,3.996,0.337,0.528,0.122,1.132,1.330
L1_DoubleEG_23_10,10.197,0,0.000,0.000,0.000,0.000,0.000,1.368
L1_DoubleEG_24_17,1.946,1,1.946,0.235,0.000,0.000,0.288,1.295
L1_DoubleEG_25_12,5.783,1,5.783,0.405,0.419,0.109,1.378,1.342
L1_DoubleEG_25_13,4.542,1,4.542,0.359,0.000,0.000,0.824,1.335
L1_DoubleEG_25_14,3.493,1,3.493,0.315,0.000,0.000,0.493,1.325
L1_DoubleLooseIsoEG22er2p1,0.134,1,0.134,0.062,0.000,0.000,0.002,1.179
L1_DoubleLooseIsoEG24er2p1,0.134,1,0.134,0.062,0.000,0.000,0.002,1.182
L1_TripleEG_14_10_8,11.717,0,0.000,0.000,0.000,0.000,0.000,1.634
L1_TripleEG_18_17_8,0.952,1,0.952,0.164,0.207,0.077,0.336,1.461
L1_SingleTau20,15771.552,0,0.000,0.000,0.000,0.000,0.000,1.581
L1_SingleTau80er2p1,8.183,0,0.000,0.000,0.000,0.000,0.000,1.208
L1_SingleTau100er2p1,3.809,0,0.000,0.000,0.000,0.000,0.000,1.210
L1_SingleTau120er2p1,2.167,1,2.167,0.248,0.000,0.000,0.104,1.213
L1_SingleTau130er2p1,1.551,1,1.551,0.210,0.000,0.000,0.058,1.216
L1_SingleTau140er2p1,1.178,1,1.178,0.183,0.000,0.000,0.031,1.222
L1_DoubleTau50er2p1,6.839,0,0.000,0.000,0.000,0.000,0.000,1.206
L1_DoubleTau70er2p1,2.150,1,2.150,0.247,0.000,0.000,0.144,1.204
L1_DoubleIsoTau28er2p1,13.225,0,0.000,0.000,0.000,0.000,0.000,1.209
L1_DoubleIsoTau30er2p1,11.479,0,0.000,0.000,0.000,0.000,0.000,1.205
L1_DoubleIsoTau32er2p1,9.339,1,9.339,0.515,0.307,0.093,1.579,1.202
L1_DoubleIsoTau33er2p1,8.791,1,8.791,0.499,0.000,0.000,1.231,1.202
L1_DoubleIsoTau34er2p1,8.040,1,8.040,0.477,0.000,0.000,0.983,1.202
L1_DoubleIsoTau35er2p1,7.665,1,7.665,0.466,0.000,0.000,0.883,1.202
L1_DoubleIsoTau36er2p1,7.154,1,7.154,0.450,0.000,0.000,0.769,1.202
L1_DoubleIsoTau38er2p1,6.403,1,6.403,0.426,0.000,0.000,0.635,1.201
L1_SingleJet16,24522.614,0,0.000,0.000,0.000,0.000,0.000,1.113
L1_SingleJet20,21127.865,0,0.000,0.000,0.000,0.000,0.000,1.195
L1_SingleJet35,6690.842,89000,0.043,0.035,0.043,0.035,0.043,1.514
L1_SingleJet60,574.525,7700,0.041,0.034,0.041,0.034,0.041,1.456
L1_SingleJet90,74.209,990,0.075,0.046,0.037,0.033,0.040,1.319
L1_SingleJet120,18.268,245,0.073,0.046,0.000,0.000,0.008,1.291
L1_SingleJet140,8.834,0,0.000,0.000,0.000,0.000,0.000,1.282
L1_SingleJet150,6.645,1,6.645,0.434,0.399,0.106,1.030,1.281
L1_SingleJet160,5.062,1,5.062,0.379,0.000,0.000,0.463,1.275
L1_SingleJet170,3.937,1,3.937,0.334,0.000,0.000,0.291,1.274
