seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_DoubleEG_15_10,91.034,0,0.000,0.000,0.000,0.000,0.000,2.728
L1_DoubleEG_18_17,5.909,0,0.000,0.000,0.000,0.000,0.000,2.368
L1_DoubleEG_20_18,3.760,0,0.000,0.000,0.000,0.000,0.000,2.287
L1_DoubleEG_22_10,21.448,0,0.000,0.000,0.000,0.000,0.000,2.600
L1_DoubleEG_22_12,14.240,0,0.000,0.000,0.000,0.000,0.000,2.499
L1_DoubleEG_22_15,7.293,0,0.000,0.000,0.000,0.000,0.000,2.427
L1_DoubleEG_23_10,19.285,0,0.000,0.000,0.000,0.000,0.000,2.587
L1_DoubleEG_24_17,3.414,0,0.000,0.000,0.000,0.000,0.000,2.272
L1_DoubleEG_25_12,10.619,0,0.000,0.000,0.000,0.000,0.000,2.464
L1_DoubleEG_25_13,8.290,0,0.000,0.000,0.000,0.000,0.000,2.437
L1_DoubleEG_25_14,6.324,1,6.324,0.423,3.264,0.304,4.013,2.399
L1_DoubleLooseIsoEG22er2p1,0.176,1,0.176,0.071,0.000,0.000,0.007,1.550
L1_DoubleLooseIsoEG24er2p1,0.174,1,0.174,0.070,0.000,0.000,0.007,1.536
L1_TripleEG_14_10_8,27.936,0,0.000,0.000,0.000,0.000,0.000,3.895
L1_TripleEG_18_17_8,2.003,1,2.003,0.238,0.871,0.157,1.230,3.071
L1_SingleTau20,27267.985,0,0.000,0.000,0.000,0.000,0.000,2.734
L1_SingleTau80er2p1,10.590,0,0.000,0.000,0.000,0.000,0.000,1.563
L1_SingleTau100er2p1,4.943,0,0.000,0.000,0.000,0.000,0.000,1.571
L1_SingleTau120er2p1,2.823,1,2.823,0.283,0.045,0.036,0.383,1.581
L1_SingleTau130er2p1,2.029,1,2.029,0.240,0.000,0.000,0.193,1.590
L1_SingleTau140er2p1,1.552,1,1.552,0.210,0.000,0.000,0.094,1.610
L1_DoubleTau50er2p1,8.832,0,0.000,0.000,0.000,0.000,0.000,1.558
L1_DoubleTau70er2p1,2.771,1,2.771,0.280,0.044,0.035,0.472,1.552
L1_DoubleIsoTau28er2p1,17.226,0,0.000,0.000,0.000,0.000,0.000,1.574
L1_DoubleIsoTau30er2p1,14.879,0,0.000,0.000,0.000,0.000,0.000,1.562
L1_DoubleIsoTau32er2p1,12.051,0,0.000,0.000,0.000,0.000,0.000,1.551
L1_DoubleIsoTau33er2p1,11.337,0,0.000,0.000,0.000,0.000,0.000,1.550
L1_DoubleIsoTau34er2p1,10.363,1,10.363,0.542,0.395,0.106,2.557,1.549
L1_DoubleIsoTau35er2p1,9.876,1,9.876,0.529,0.000,0.000,2.148,1.548
L1_DoubleIsoTau36er2p1,9.213,1,9.213,0.511,0.000,0.000,1.836,1.548
L1_DoubleIsoTau38er2p1,8.244,1,8.244,0.483,0.000,0.000,1.542,1.547
L1_SingleJet16,26129.617,0,0.000,0.000,0.000,0.000,0.000,1.186
L1_SingleJet20,24894.888,0,0.000,0.000,0.000,0.000,0.000,1.408
L1_SingleJet35,11920.772,159000,0.000,0.000,0.000,0.000,0.000,2.697
L1_SingleJet60,1006.913,13400,0.072,0.045,0.072,0.045,0.072,2.552
L1_SingleJet90,110.513,1500,0.056,0.040,0.056,0.040,0.056,1.965
L1_SingleJet120,26.270,350,0.053,0.039,0.053,0.039,0.053,1.857
L1_SingleJet140,12.582,0,0.000,0.000,0.000,0.000,0.000,1.826
L1_SingleJet150,9.450,0,0.000,0.000,0.000,0.000,0.000,1.822
L1_SingleJet160,7.138,0,0.000,0.000,0.000,0.000,0.000,1.798
L1_SingleJet170,5.548,0,0.000,0.000,0.000,0.000,0.000,1.795
L1_SingleJet180,4.251,1,4.251,0.347,0.101,0.054,0.777,1.785
L1_SingleJet200,2.375,1,2.375,0.259,0.000,0.000,0.223,1.782
L1_SingleJet35_FWD,7679.598,103000,0.000,0.000,0.000,0.000,0.000,8.001
L1_SingleJet60_FWD,381.973,5100,0.000,0.000,0.000,0.000,0.000,6.410
L1_SingleJet90_FWD,18.972,250,0.000,0.000,0.000,0.000,0.000,3.297
L1_SingleJet120_FWD,2.826,38,0.000,0.000,0.000,0.000,0.000,2.848
L1_SingleJet35_HFp,607.401,0,0.000,0.000,0.000,0.000,0.000,3.733
L1_SingleJet35_HFm,431.849,0,0.000,0.000,0.000,0.000,0.000,3.720
L1_SingleJet60_HFp,37.193,0,0.000,0.000,0.000,0.000,0.000,2.650
L1_SingleJet60_HFm,27.124,0,0.000,0.000,0.000,0.000,0.000,2.650
