seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,2458.433,0,0.000,0.000,0.000,0.000,0.000,0.746
L1_SingleMuOpen,2458.239,33000,0.063,0.042,0.063,0.042,0.063,0.746
L1_SingleMuCosmics_BMTF,154.987,0,0.000,0.000,0.000,0.000,0.000,0.733
L1_SingleMuCosmics_OMTF,182.514,0,0.000,0.000,0.000,0.000,0.000,0.732
L1_SingleMuCosmics_EMTF,2154.702,0,0.000,0.000,0.000,0.000,0.000,0.745
L1_SingleMu0_BMTF,154.987,0,0.000,0.000,0.000,0.000,0.000,0.733
L1_SingleMu0_OMTF,101.681,0,0.000,0.000,0.000,0.000,0.000,0.729
L1_SingleMu0_EMTF,1154.515,0,0.000,0.000,0.000,0.000,0.000,0.749
L1_SingleMu3,819.588,11000,0.063,0.042,0.042,0.034,0.057,0.739
L1_SingleMu5,246.363,3300,0.062,0.042,0.041,0.034,0.044,0.730
L1_SingleMu7,97.224,1300,0.062,0.042,0.062,0.042,0.062,0.726
L1_SingleMu10_LowQ,43.672,580,0.061,0.041,0.040,0.034,0.042,0.714
L1_SingleMu11_LowQ,33.908,0,0.000,0.000,0.000,0.000,0.000,0.712
L1_SingleMu12_LowQ_BMTF,4.754,0,0.000,0.000,0.000,0.000,0.000,0.732
L1_SingleMu12_LowQ_OMTF,6.308,0,0.000,0.000,0.000,0.000,0.000,0.722
L1_SingleMu12_LowQ_EMTF,17.587,0,0.000,0.000,0.000,0.000,0.000,0.701
L1_SingleMu16,9.754,1,9.754,0.526,0.262,0.086,2.010,0.711
L1_SingleMu18,7.249,1,7.249,0.453,0.000,0.000,0.885,0.708
L1_SingleMu20,5.897,1,5.897,0.409,0.000,0.000,0.625,0.707
L1_SingleMu22,4.705,1,4.705,0.365,0.000,0.000,0.450,0.706
L1_SingleMu22_BMTF,1.122,0,0.000,0.000,0.000,0.000,0.000,0.733
L1_SingleMu22_OMTF,1.496,0,0.000,0.000,0.000,0.000,0.000,0.713
L1_SingleMu22_EMTF,2.092,0,0.000,0.000,0.000,0.000,0.000,0.690
L1_SingleMu25,3.817,1,3.817,0.329,0.000,0.000,0.347,0.705
L1_SingleMu30,2.412,1,2.412,0.262,0.000,0.000,0.215,0.703
L1_SingleMu14er2p1,11.958,0,0.000,0.000,0.000,0.000,0.000,0.719
L1_SingleMu16er2p1,8.513,1,8.513,0.491,0.000,0.000,1.534,0.717
L1_SingleMu18er2p1,6.280,1,6.280,0.422,0.000,0.000,0.677,0.715
L1_SingleMu20er2p1,5.056,1,5.056,0.379,0.000,0.000,0.471,0.713
L1_SingleMu22er2p1,4.015,1,4.015,0.337,0.000,0.000,0.337,0.712
L1_DoubleMu0,120.945,0,0.000,0.000,0.000,0.000,0.000,0.595
L1_DoubleMu_11_4,1.947,1,1.947,0.235,0.304,0.093,0.623,0.630
L1_DoubleMu_12_5,1.246,1,1.246,0.188,0.000,0.000,0.211,0.646
L1_DoubleMu_12_8,0.441,1,0.441,0.112,0.000,0.000,0.054,0.676
L1_DoubleMu_13_6,0.819,1,0.819,0.152,0.000,0.000,0.105,0.656
L1_DoubleMu_15_5,0.767,1,0.767,0.147,0.000,0.000,0.082,0.644
L1_DoubleMu_15_7,0.434,1,0.434,0.111,0.000,0.000,0.034,0.665
L1_DoubleMu18er2p1,0.041,1,0.041,0.034,0.000,0.000,0.002,0.726
L1_DoubleMu22er2p1,0.042,1,0.042,0.034,0.000,0.000,0.002,0.733
L1_TripleMu0,5.533,0,0.000,0.000,0.000,0.000,0.000,0.490
L1_TripleMu3,0.916,1,0.916,0.161,0.148,0.065,0.342,0.521
L1_TripleMu_4_4_4,0.268,1,0.268,0.087,0.000,0.000,0.045,0.557
L1_TripleMu_5_0_0,1.976,1,1.976,0.237,0.953,0.164,1.210,0.494
L1_TripleMu_5_3_3,0.551,1,0.551,0.125,0.000,0.000,0.087,0.525
L1_TripleMu_5_5_3,0.327,1,0.327,0.096,0.000,0.000,0.040,0.549
L1_QuadMu0,0.267,0,0.000,0.000,0.000,0.000,0.000,0.409
L1_SingleEG5,7371.141,98000,0.061,0.042,0.061,0.042,0.061,0.722
L1_SingleEG10,1182.815,16000,0.060,0.041,0.060,0.041,0.060,0.707
L1_SingleEG15,273.905,3700,0.060,0.041,0.060,0.041,0.060,0.700
L1_SingleEG18,86.921,0,0.000,0.000,0.000,0.000,0.000,0.685
L1_SingleEG24,29.630,0,0.000,0.000,0.000,0.000,0.000,0.694
L1_SingleEG26,22.888,305,0.059,0.041,0.020,0.024,0.031,0.691
L1_SingleEG28,17.378,1,17.378,0.702,2.175,0.248,4.382,0.691
L1_SingleEG30,13.639,1,13.639,0.622,0.000,0.000,1.930,0.690
L1_SingleEG32,10.418,1,10.418,0.543,0.000,0.000,0.956,0.688
L1_SingleEG34,8.621,1,8.621,0.494,0.000,0.000,0.605,0.686
L1_SingleEG36,6.909,1,6.909,0.443,0.000,0.000,0.382,0.687
L1_SingleEG38,5.849,1,5.849,0.407,0.000,0.000,0.269,0.685
L1_SingleEG40,5.024,1,5.024,0.377,0.000,0.000,0.195,0.684
L1_SingleEG42,4.090,1,4.090,0.341,0.000,0.000,0.133,0.684
L1_SingleEG45,3.333,1,3.333,0.307,0.000,0.000,0.093,0.684
L1_SingleEG50,2.335,1,2.335,0.257,0.000,0.000,0.049,0.681
L1_SingleEG34er2p1,6.167,1,6.167,0.418,0.000,0.000,0.338,0.693
L1_SingleEG36er2p1,4.899,1,4.899,0.373,0.000,0.000,0.194,0.691
L1_SingleEG38er2p1,4.147,1,4.147,0.343,0.000,0.000,0.127,0.690
L1_SingleIsoEG18,19.440,1,19.440,0.742,0.555,0.125,4.362,0.784
L1_SingleIsoEG20,14.365,1,14.365,0.638,0.000,0.000,1.703,0.767
L1_SingleIsoEG22,11.541,1,11.541,0.572,0.000,0.000,0.891,0.747
L1_SingleIsoEG24,9.783,1,9.783,0.527,0.000,0.000,0.571,0.730
L1_SingleIsoEG26,8.682,1,8.682,0.496,0.000,0.000,0.425,0.716
L1_SingleIsoEG28,7.282,1,7.282,0.454,0.000,0.000,0.279,0.708
L1_SingleIsoEG30,6.569,1,6.569,0.432,0.000,0.000,0.216,0.702
L1_SingleIsoEG32,5.743,1,5.743,0.403,0.000,0.000,0.165,0.696
L1_SingleIsoEG34,5.206,1,5.206,0.384,0.000,0.000,0.140,0.693
L1_SingleIsoEG35,4.945,1,4.945,0.374,0.000,0.000,0.130,0.692
L1_SingleIsoEG36,4.646,1,4.646,0.363,0.000,0.000,0.117,0.692
L1_SingleIsoEG37,4.526,1,4.526,0.358,0.000,0.000,0.112,0.691
L1_SingleIsoEG38,4.349,1,4.349,0.351,0.000,0.000,0.106,0.691
L1_SingleIsoEG40,4.070,1,4.070,0.340,0.000,0.000,0.097,0.690
L1_SingleIsoEG18er2p1,15.319,1,15.319,0.659,0.000,0.000,3.041,0.764
L1_SingleIsoEG20er2p1,10.940,1,10.940,0.557,0.000,0.000,1.000,0.745
L1_SingleIsoEG22er2p1,8.941,1,8.941,0.503,0.000,0.000,0.552,0.725
L1_SingleIsoEG24er2p1,7.619,1,7.619,0.465,0.000,0.000,0.359,0.707
L1_SingleIsoEG26er2p1,6.808,1,6.808,0.439,0.000,0.000,0.274,0.694
L1_SingleIsoEG28er2p1,5.720,1,5.720,0.403,0.000,0.000,0.180,0.689
L1_SingleIsoEG30er2p1,5.201,1,5.201,0.384,0.000,0.000,0.144,0.685
L1_SingleIsoEG32er2p1,4.567,1,4.567,0.360,0.000,0.000,0.112,0.683
L1_SingleIsoEG33er2p1,4.315,1,4.315,0.350,0.000,0.000,0.100,0.683
L1_SingleIsoEG34er2p1,4.121,1,4.121,0.342,0.000,0.000,0.092,0.682
L1_SingleIsoEG35er2p1,3.909,1,3.909,0.333,0.000,0.000,0.085,0.683
L1_SingleIsoEG36er2p1,3.716,1,3.716,0.325,0.000,0.000,0.079,0.683
L1_SingleIsoEG38er2p1,3.492,1,3.492,0.315,0.000,0.000,0.072,0.684
L1_SingleIsoEG40er2p1,3.259,1,3.259,0.304,0.000,0.000,0.066,0.684
L1_IsoEG33_Mt40,4.439,1,4.439,0.355,0.000,0.000,0.119,0.693
L1_IsoEG33_Mt44,4.358,1,4.358,0.351,0.000,0.000,0.117,0.692
L1_IsoEG33_Mt48,4.190,1,4.190,0.345,0.000,0.000,0.112,0.691
L1_DoubleEG_15_10,18.910,0,0.000,0.000,0.000,0.000,0.000,0.567
L1_DoubleEG_18_17,1.627,1,1.627,0.215,0.203,0.076,0.372,0.652
L1_DoubleEG_20_18,1.100,1,1.100,0.177,0.000,0.000,0.111,0.669
L1_DoubleEG_22_10,5.088,1,5.088,0.380,0.175,0.070,0.938,0.617
L1_DoubleEG_22_12,3.594,1,3.594,0.319,0.000,0.000,0.444,0.631
L1_DoubleEG_22_15,1.952,1,1.952,0.235,0.000,0.000,0.192,0.650
L1_DoubleEG_23_10,4.612,1,4.612,0.362,0.000,0.000,0.650,0.619
L1_DoubleEG_24_17,1.008,1,1.008,0.169,0.000,0.000,0.065,0.671
L1_DoubleEG_25_12,2.750,1,2.750,0.279,0.000,0.000,0.233,0.638
L1_DoubleEG_25_13,2.185,1,2.185,0.249,0.000,0.000,0.172,0.642
L1_DoubleEG_25_14,1.706,1,1.706,0.220,0.000,0.000,0.118,0.647
L1_DoubleLooseIsoEG22er2p1,0.081,1,0.081,0.048,0.000,0.000,0.001,0.717
L1_DoubleLooseIsoEG24er2p1,0.082,1,0.082,0.048,0.000,0.000,0.001,0.719
L1_TripleEG_14_10_8,3.282,1,3.282,0.305,2.050,0.241,2.335,0.458
L1_TripleEG_18_17_8,0.362,1,0.362,0.101,0.000,0.000,0.048,0.555
L1_SingleTau20,5725.598,0,0.000,0.000,0.000,0.000,0.000,0.574
L1_SingleTau80er2p1,4.814,1,4.814,0.369,0.222,0.079,0.620,0.710
L1_SingleTau100er2p1,2.230,1,2.230,0.251,0.000,0.000,0.098,0.709
L1_SingleTau120er2p1,1.259,1,1.259,0.189,0.000,0.000,0.034,0.705
L1_SingleTau130er2p1,0.895,1,0.895,0.159,0.000,0.000,0.019,0.701
L1_SingleTau140er2p1,0.671,1,0.671,0.138,0.000,0.000,0.011,0.696
L1_DoubleTau50er2p1,4.041,1,4.041,0.338,0.242,0.083,0.589,0.713
L1_DoubleTau70er2p1,1.277,1,1.277,0.190,0.000,0.000,0.053,0.715
L1_DoubleIsoTau28er2p1,7.674,1,7.674,0.466,0.577,0.128,1.666,0.701
L1_DoubleIsoTau30er2p1,6.717,1,6.717,0.436,0.000,0.000,0.992,0.705
L1_DoubleIsoTau32er2p1,5.505,1,5.505,0.395,0.000,0.000,0.515,0.709
L1_DoubleIsoTau33er2p1,5.187,1,5.187,0.383,0.000,0.000,0.442,0.709
