seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,1260.938,0,0.000,0.000,0.000,0.000,0.000,0.383
L1_SingleMuOpen,1260.851,17000,0.065,0.043,0.065,0.043,0.065,0.383
L1_SingleMuCosmics_BMTF,77.321,0,0.000,0.000,0.000,0.000,0.000,0.365
L1_SingleMuCosmics_OMTF,91.072,0,0.000,0.000,0.000,0.000,0.000,0.365
L1_SingleMuCosmics_EMTF,1102.602,0,0.000,0.000,0.000,0.000,0.000,0.381
L1_SingleMu0_BMTF,77.321,0,0.000,0.000,0.000,0.000,0.000,0.365
L1_SingleMu0_OMTF,50.372,0,0.000,0.000,0.000,0.000,0.000,0.361
L1_SingleMu0_EMTF,593.865,0,0.000,0.000,0.000,0.000,0.000,0.385
L1_SingleMu3,415.004,5500,0.074,0.046,0.064,0.042,0.073,0.374
L1_SingleMu5,122.471,1600,0.072,0.045,0.072,0.045,0.072,0.363
L1_SingleMu7,47.946,640,0.071,0.045,0.061,0.042,0.065,0.358
L1_SingleMu10_LowQ,21.074,280,0.068,0.044,0.029,0.029,0.051,0.344
L1_SingleMu11_LowQ,16.287,0,0.000,0.000,0.000,0.000,0.000,0.342
L1_SingleMu12_LowQ_BMTF,2.376,0,0.000,0.000,0.000,0.000,0.000,0.366
L1_SingleMu12_LowQ_OMTF,3.114,0,0.000,0.000,0.000,0.000,0.000,0.357
L1_SingleMu12_LowQ_EMTF,8.250,0,0.000,0.000,0.000,0.000,0.000,0.329
L1_SingleMu16,4.707,1,4.707,0.365,0.126,0.060,0.827,0.343
L1_SingleMu18,3.492,1,3.492,0.315,0.000,0.000,0.401,0.341
L1_SingleMu20,2.831,1,2.831,0.283,0.000,0.000,0.287,0.340
L1_SingleMu22,2.255,1,2.255,0.253,0.000,0.000,0.207,0.338
L1_SingleMu22_BMTF,0.564,0,0.000,0.000,0.000,0.000,0.000,0.368
L1_SingleMu22_OMTF,0.733,0,0.000,0.000,0.000,0.000,0.000,0.350
L1_SingleMu22_EMTF,0.955,0,0.000,0.000,0.000,0.000,0.000,0.315
L1_SingleMu25,1.828,1,1.828,0.228,0.000,0.000,0.160,0.338
L1_SingleMu30,1.151,1,1.151,0.181,0.000,0.000,0.098,0.335
L1_SingleMu14er2p1,5.841,1,5.841,0.407,1.383,0.198,2.064,0.351
L1_SingleMu16er2p1,4.145,1,4.145,0.343,0.000,0.000,0.597,0.349
L1_SingleMu18er2p1,3.054,1,3.054,0.294,0.000,0.000,0.300,0.348
L1_SingleMu20er2p1,2.455,1,2.455,0.264,0.000,0.000,0.213,0.346
L1_SingleMu22er2p1,1.947,1,1.947,0.235,0.000,0.000,0.153,0.345
L1_DoubleMu0,40.291,0,0.000,0.000,0.000,0.000,0.000,0.198
L1_DoubleMu_11_4,0.782,1,0.782,0.149,0.079,0.047,0.197,0.253
L1_DoubleMu_12_5,0.527,1,0.527,0.122,0.000,0.000,0.070,0.273
L1_DoubleMu_12_8,0.199,1,0.199,0.075,0.000,0.000,0.021,0.306
