seed,rate,error,chi2
L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3,14.3,0.1,167.326
L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3,13.2,0.1,158.843
L1_IsoEG24er2p1_HTT100er,14.0,0.2,1313.73
L1_IsoEG26er2p1_HTT100er,13.6,0.2,1234.61
L1_IsoEG28er2p1_HTT100er,13.0,0.2,1230.37
L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,16.2,0.0,233.17
L1_Mu18_HTT100er,2.7,0.0,170.736
L1_Mu18_Jet24er3p0,14.3,0.2,374.636
L1_Mu20_EG17,0.4,0.0,202.636
L1_Mu23_EG10,1.4,0.0,358.956
L1_Mu23_IsoEG10,0.1,0.0,160.471
L1_Mu5_EG23,2.9,0.1,490.533
L1_Mu5_IsoEG20,1.0,0.0,226.142
L1_Mu7_EG23,1.5,0.0,400.448
L1_Mu7_IsoEG20,0.5,0.0,243.596
L1_Mu7_IsoEG23,0.5,0.0,613.009
L1_HTT250er_QuadJet_70_55_40_35_er2p5,14.6,0.1,225.64
L1_HTT280er_QuadJet_70_55_40_35_er2p5,10.7,0.0,207.463
L1_HTT300er_QuadJet_70_55_40_35_er2p5,8.5,0.0,199.631
L1_DoubleJet100er2p3_dEta_Max1p6,6.6,0.1,172.061
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,3.7,0.1,334.62
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.6,0.0,147.45
L1_IsoTau40er_ETM80,10.8,0.1,105.49
L1_IsoTau40er_ETM85,8.7,0.0,120.622
L1_IsoTau40er_ETM90,7.0,0.0,150.935
L1_IsoTau40er_ETM95,5.7,0.0,155.741
L1_IsoTau40er_ETM100,4.7,0.0,162.227
L1_IsoTau40er_ETMHF80,9.6,0.0,132.821
L1_IsoTau40er_ETMHF90,6.1,0.0,164.736
L1_Mu22er2p1_IsoTau40er2p1,0.4,0.0,158.956
L1_QuadJet36er3p0_IsoTau52er2p1,10.7,0.0,232.35
L1_ETM80_Jet60_dPhi_Min0p4,76.8,0.5,151.827
L1_ETM90_Jet60_dPhi_Min0p4,41.2,0.2,146.122
L1_ETM100_Jet60_dPhi_Min0p4,21.4,0.1,124.602
L1_ETM110_Jet60_dPhi_Min0p4,11.0,0.1,113.429
L1_DoubleJet60er3p0_ETM70,23.3,0.2,120.231
L1_DoubleJet60er3p0_ETM80,14.3,0.1,106.708
L1_DoubleJet60er3p0_ETM90,8.6,0.1,117.473
L1_DoubleJet60er3p0_ETM100,4.7,0.0,222.989
L1_DoubleEG_Iso23_10,5.2,0.5,202.829
L1_DoubleEG_Iso24_10,5.1,0.0,206.64
L1_TripleEG_Iso20_10_5,3.7,0.0,200.543
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,30.2,0.1,664.583
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,19.8,0.1,410.565
L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,15.6,0.1,418.729
L1_DoubleJet30_Mass_Min400_Mu6,36.5,0.1,3403.95
L1_DoubleJet30_Mass_Min400_Mu10,9.5,0.0,1558.47
L1_IsoEG18er2p1_IsoTau24er2p1_dEta_Min0p2,3.8,0.1,366.238
L1_IsoEG20er2p1_IsoTau25er2p1_dEta_Min0p2,3.1,0.1,329.706
L1_IsoEG22er2p1_IsoTau26er2p1_dEta_Min0p2,2.7,0.1,280.051
L1_Mu16er2p1_Tau20er2p1,8.8,0.1,314.436
L1_Mu16er2p1_Tau24er2p1,3.4,0.1,189.652
L1_Mu18er2p1_Tau20er2p1,6.6,0.1,273.095
L1_Mu18er2p1_Tau24er2p1,2.7,0.1,195.977
L1_Mu18er2p1_IsoTau26er2p1,1.2,0.0,166.833
L1_Mu20er2p1_IsoTau26er2p1,0.9,0.0,178.774
L1_Mu6_HTT240er,2.2,0.0,123.522
L1_Mu6_HTT250er,1.9,0.0,132.491
L1_Mu15_HTT100er,3.8,0.0,152.139
L1_DoubleMu0_ETMHF40_Jet60_OR_DoubleJet30,87.3,0.4,185.409
L1_DoubleMu0_ETMHF50_Jet60_OR_DoubleJet30,56.2,0.2,178.52
L1_DoubleMu0_ETMHF60_Jet60_OR_DoubleJet30,33.3,0.1,156.331
L1_DoubleMu0_ETMHF70_Jet60_OR_DoubleJet30,17.8,0.1,181.262
L1_DoubleMu0_ETMHF80_Jet60_OR_DoubleJet30,8.9,0.0,182.219
L1_DoubleMu3_SQ_ETMHF40_Jet60_OR_DoubleJet30,15.9,0.1,217.009
L1_DoubleMu3_SQ_ETMHF50_Jet60_OR_DoubleJet30,10.4,0.1,194.7
L1_DoubleMu3_SQ_ETMHF60_Jet60_OR_DoubleJet30,6.2,0.0,142.933
L1_DoubleMu3_SQ_ETMHF70_Jet60_OR_DoubleJet30,3.4,0.0,121.136
L1_DoubleMu3_SQ_ETMHF80_Jet60_OR_DoubleJet30,1.8,0.0,126.061
L1_DoubleMu3_SQ_HTT100er,6.7,0.0,356.204
L1_DoubleMu3_SQ_HTT200er,1.0,0.0,180.721
L1_DoubleMu3_SQ_HTT220er,0.7,0.0,142.655
L1_DoubleMu3_SQ_HTT240er,0.5,0.0,152.563
L1_DoubleMu_15_7_SQ,0.7,0.0,150.716
L1_DoubleMu_15_7_SQ_Mass_Min4,0.5,0.0,141.29
L1_TripleMu3_SQ,2.5,0.5,459.849
L1_DoubleEG6_HTT240er,16.7,0.1,639.702
L1_DoubleEG6_HTT250er,14.0,0.1,582.153
L1_DoubleEG6_HTT270er,10.0,0.0,453.178
L1_DoubleEG6_HTT300er,6.4,0.0,291.584
L1_ETMHF70_Jet60_OR_DoubleJet30,800.7,2.3,204.249
L1_ETMHF75_Jet60_OR_DoubleJet30,561.4,1.5,199.127
L1_ETMHF80_Jet60_OR_DoubleJet30,387.4,1.0,194.717
L1_ETMHF85_Jet60_OR_DoubleJet30,262.4,0.7,192.163
L1_ETMHF90_Jet60_OR_DoubleJet30,175.0,0.5,198.059
L1_ETMHF95_Jet60_OR_DoubleJet30,115.7,0.3,196.637
L1_ETMHF100_Jet60_OR_DoubleJet30,75.8,0.2,194.031
L1_ETMHF105_Jet60_OR_DoubleJet30,49.6,0.2,187.32
L1_ETMHF110_Jet60_OR_DoubleJet30,32.4,0.1,163.327
L1_ETMHF115_Jet60_OR_DoubleJet30,21.2,0.1,146.751
L1_ETMHF120_Jet60_OR_DoubleJet30,14.1,0.1,136.888
L1_ETMHF70_Jet60_OR_DiJet30woTT28,476.1,1.8,172.088
L1_ETMHF80_Jet60_OR_DiJet30woTT28,239.6,0.8,166.859
L1_ETMHF90_Jet60_OR_DiJet30woTT28,113.6,0.4,168.431
L1_ETMHF100_Jet60_OR_DiJet30woTT28,52.5,0.2,151.776
L1_ETMHF110_Jet60_OR_DiJet30woTT28,24.1,0.1,134.62
L1_ETMHF120_Jet60_OR_DiJet30woTT28,11.2,0.1,134.442
L1_ETMHF70_Jet90_OR_DoubleJet45_OR_TripleJet30,518.5,1.1,222.098
L1_ETMHF80_Jet90_OR_DoubleJet45_OR_TripleJet30,264.0,0.6,241.074
L1_ETMHF90_Jet90_OR_DoubleJet45_OR_TripleJet30,127.2,0.3,260.838
L1_ETMHF100_Jet90_OR_DoubleJet45_OR_TripleJet30,59.0,0.2,218.467
L1_ETMHF110_Jet90_OR_DoubleJet45_OR_TripleJet30,26.9,0.1,156.62
L1_DoubleMu7_SQ_EG7,0.9,0.0,163.395
L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,4.7,0.1,171.098
L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,2.3,0.1,127.152
L1_DoubleMu4_SQ_OS_dR_Max1p2,4.6,0.1,273.619
L1_DoubleMu5_SQ_OS_Mass7to18,1.7,0.0,204.593
L1_DoubleMu_20_2_SQ_Mass_Max20,0.9,0.0,221.601
L1_TripleMu_5_0_0_DoubleMu_5_0_OS_Mass_Max17,6.7,0.1,381.739
L1_DoubleMu4_OS_EG12,1.5,0.0,110.21
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,3.5,0.1,153.747
L1_DoubleMu4p5_SQ_OS_dR_Max1p2,2.8,0.1,233.43
L1_TripleMu_5_3_0_DoubleMu_5_3_OS_Mass_Max17,3.6,0.3,250.799
L1_DoubleMu5_OS_EG12,0.5,0.0,100.524
L1_DoubleMu6_SQ_OS,2.2,0.1,256.046
L1_Mu6_DoubleEG17,0.2,0.0,124.745
L1_DoubleMu7_EG7,1.2,0.0,147.418
L1_Mu5_EG15,16.1,0.2,824.208
L1_Mu5_EG20,4.5,0.1,589.727
L1_Mu5_IsoEG18,1.1,0.0,240.325
L1_Mu12_EG10,6.2,0.1,745.4
L1_Mu20_EG10,1.9,0.0,379.048
L1_MU20_EG15,0.6,0.0,208.015
L1_Mu20_IsoEG6,0.3,0.0,182.324
L1_Mu6_HTT200er,4.2,0.0,157.557
L1_Mu8_HTT150er,5.9,0.0,214.701
L1_EG25er2p1_HTT125er,24.9,0.1,217.465
L1_EG27er2p1_HTT200er,8.5,0.0,168.584
L1_DoubleJet60er3p0_ETM60,36.5,0.3,120.579
L1_QuadJet36er3p0_Tau52,18.0,0.1,457.767
L1_ETM75_Jet60_dPhi_Min0p4,105.0,0.6,146.228
L1_DoubleMu0_ETM40,126.4,1.2,205.071
L1_DoubleMu0_ETM55,52.0,0.3,171.999
L1_DoubleMu0_ETM60,36.6,0.1,170.328
L1_DoubleMu0_ETM65,25.3,0.1,160.325
L1_DoubleMu0_ETM70,16.9,0.1,158.411
L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,4.4,0.0,175.81
L1_Jet32_Mu0_EG10_dPhi_Jet_Mu_Max0p4_dPhi_Mu_EG_Min1p0,65.3,0.2,417.651
L1_DoubleEG6_HTT255er,12.9,0.1,566.008
L1_DoubleMu0er1p4_dEta_Max1p8_OS,7.7,0.2,193.536
L1_DoubleMu_10_0_dEta_Max1p8,12.1,0.2,244.232
L1_Mu6_DoubleEG10,3.4,0.0,267.306
L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,159.2,2.1,361.15
L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,9.1,0.2,477.301
L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4,0.7,0.0,155.459
L1_Mu10er2p1_ETM30,31.1,0.2,153.965
L1_Mu14er2p1_ETM30,12.9,1.5,163.936
