L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,810.71,362.561,648.568,664.782
4,L1_SingleMu7,120,648.568,324.284,486.426,526.962
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,1,8269.24,1157.93,324.284,1577.63
8,L1_SingleMu18,1,6161.4,999.511,0,620.542
9,L1_SingleMu20,1,5026.4,902.769,0,442.315
10,L1_SingleMu22,1,4539.98,857.975,0,379.774
11,L1_SingleMu25,1,3891.41,794.331,0,320.117
12,L1_SingleMu30,1,2594.27,648.568,0,232.227
13,L1_SingleMu14er2p1,20,486.426,280.838,0,111.865
14,L1_SingleMu16er2p1,1,7458.53,1099.7,0,1195.37
15,L1_SingleMu18er2p1,1,5674.97,959.245,0,562.564
16,L1_SingleMu20er2p1,1,4539.98,857.975,0,384.337
17,L1_SingleMu22er2p1,1,4053.55,810.71,0,321.796
20,L1_DoubleMu0,600,162.142,162.142,162.142,162.142
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,2107.85,584.611,324.284,585.724
23,L1_DoubleMu_12_8,1,486.426,280.838,0,45.3444
24,L1_DoubleMu_13_6,1,972.852,397.165,0,72.0853
25,L1_DoubleMu_15_5,1,1459.28,486.426,0,139.833
26,L1_DoubleMu_15_7,1,648.568,324.284,0,49.1152
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,1,1621.42,512.738,162.142,392.25
29,L1_TripleMu_4_4_4,1,486.426,280.838,0,28.5187
30,L1_TripleMu_5_0_0,1,2594.27,648.568,486.426,962.45
31,L1_TripleMu_5_3_3,1,1134.99,428.988,0,122.014
32,L1_TripleMu_5_5_3,1,810.71,362.561,0,66.4221
33,L1_QuadMu0,1,1297.14,458.607,810.71,862.482
40,L1_SingleEG5,10000,486.426,280.838,486.426,486.426
41,L1_SingleEG10,2500,324.284,229.303,324.284,324.284
42,L1_SingleEG15,1000,162.142,162.142,162.142,162.142
43,L1_SingleEG18,130,648.568,324.284,324.284,445.891
44,L1_SingleEG24,30,810.71,362.561,486.426,567.497
45,L1_SingleEG26,1,21078.5,1848.7,2756.41,5004.65
46,L1_SingleEG28,1,15727.8,1596.91,0,1698.05
47,L1_SingleEG30,1,12809.2,1441.15,0,965.654
48,L1_SingleEG32,1,11674.2,1375.82,0,697.626
49,L1_SingleEG34,1,10052.8,1276.71,0,534.39
50,L1_SingleEG36,1,8431.39,1169.22,0,353.829
51,L1_SingleEG38,1,7134.25,1075.53,0,276.555
52,L1_SingleEG40,1,6323.54,1012.58,0,219.27
53,L1_SingleEG45,1,3567.12,760.514,0,82.0164
54,L1_SingleEG34er2p1,1,7782.82,1123.35,0,342.206
55,L1_SingleEG36er2p1,1,6809.97,1050.8,0,244.319
56,L1_SingleEG38er2p1,1,5512.83,945.442,0,167.045
57,L1_SingleIsoEG18,1,19132.8,1761.31,162.142,3499.39
58,L1_SingleIsoEG20,1,14917.1,1555.21,0,1391.54
59,L1_SingleIsoEG22,1,12647.1,1432,0,805.13
60,L1_SingleIsoEG24,1,11187.8,1346.85,0,507.869
61,L1_SingleIsoEG26,1,10214.9,1286.96,0,397.072
62,L1_SingleIsoEG28,1,9242.1,1224.15,0,305.267
63,L1_SingleIsoEG30,1,8107.1,1146.52,0,239.457
64,L1_SingleIsoEG32,1,7782.82,1123.35,0,228.154
65,L1_SingleIsoEG34,1,6972.11,1063.24,0,201.265
66,L1_SingleIsoEG36,1,6485.68,1025.48,0,178.545
67,L1_SingleIsoEG38,1,5674.97,959.245,0,149.791
68,L1_SingleIsoEG18er2p1,1,17024.9,1661.46,0,3056.91
69,L1_SingleIsoEG20er2p1,1,12971.4,1450.24,0,1111.21
70,L1_SingleIsoEG22er2p1,1,10863.5,1327.19,0,605.863
71,L1_SingleIsoEG24er2p1,1,9728.52,1255.95,0,416.697
72,L1_SingleIsoEG26er2p1,1,8755.67,1191.5,0,305.9
73,L1_SingleIsoEG28er2p1,1,7944.96,1134.99,0,241.118
74,L1_SingleIsoEG30er2p1,1,6809.97,1050.8,0,175.309
75,L1_SingleIsoEG32er2p1,1,6485.68,1025.48,0,164.005
76,L1_SingleIsoEG34er2p1,1,5674.97,959.245,0,137.116
77,L1_SingleIsoEG36er2p1,1,5350.69,931.435,0,125.978
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
