L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,57000,68.3815,30.5812,68.3815,68.3815
2,L1_SingleMuCosmics_BMTF,0,0,0,0,0
3,L1_SingleMuCosmics_OMTF,0,0,0,0,0
4,L1_SingleMuCosmics_EMTF,0,0,0,0,0
5,L1_SingleMu0_BMTF,0,0,0,0,0
6,L1_SingleMu0_OMTF,0,0,0,0,0
7,L1_SingleMu0_EMTF,0,0,0,0,0
8,L1_SingleMu3,18000,68.3815,30.5812,68.3815,68.3815
9,L1_SingleMu5,4100,95.7342,36.1841,95.7342,95.7342
10,L1_SingleMu7,1700,82.0579,33.5,68.3815,70.6609
11,L1_SingleMu10_LowQ,700,95.7342,36.1841,82.0579,86.6166
12,L1_SingleMu11_LowQ,0,0,0,0,0
13,L1_SingleMu12_LowQ_BMTF,0,0,0,0,0
14,L1_SingleMu12_LowQ_OMTF,0,0,0,0,0
15,L1_SingleMu12_LowQ_EMTF,0,0,0,0,0
16,L1_SingleMu16,0,0,0,0,0
17,L1_SingleMu18,140,82.0579,33.5,0,20.0645
18,L1_SingleMu20,0,0,0,0,0
19,L1_SingleMu22,1,7973.29,330.22,218.821,1745.12
20,L1_SingleMu22_BMTF,0,0,0,0,0
21,L1_SingleMu22_OMTF,0,0,0,0,0
22,L1_SingleMu22_EMTF,0,0,0,0,0
23,L1_SingleMu25,1,6564.63,299.633,0,1237.12
24,L1_SingleMu30,1,4800.38,256.226,0,858.421
25,L1_SingleMu14er2p1,0,0,0,0,0
26,L1_SingleMu16er2p1,0,0,0,0,0
27,L1_SingleMu18er2p1,0,0,0,0,0
28,L1_SingleMu20er2p1,1,8178.43,334.441,793.226,2210.58
29,L1_SingleMu22er2p1,1,6633.01,301.189,0,1179.38
30,L1_DoubleMu0,0,0,0,0,0
31,L1_DoubleMu_11_4,0,0,0,0,0
32,L1_DoubleMu_12_5,1,2010.42,165.816,109.41,524.618
33,L1_DoubleMu_12_8,1,916.313,111.945,0,146.894
34,L1_DoubleMu_13_6,1,1230.87,129.745,0,205.967
35,L1_DoubleMu_15_5,1,1299.25,133.3,0,245.835
36,L1_DoubleMu_15_7,1,656.463,94.7523,0,65.1037
37,L1_TripleMu0,0,0,0,0,0
38,L1_TripleMu3,1,2393.35,180.921,246.174,831.416
39,L1_TripleMu_4_4_4,1,533.376,85.4085,0,102.302
