L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,120,1430.87,337.26,1271.89,1322.99
4,L1_SingleMu7,60,1112.9,297.435,635.943,744.773
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,2,3656.67,539.147,79.4929,707.564
8,L1_SingleMu18,1,5485.01,660.318,0,690.305
9,L1_SingleMu20,1,4372.11,589.535,0,448.009
10,L1_SingleMu22,1,3418.2,521.27,0,315.944
11,L1_SingleMu25,1,2464.28,442.598,0,218.55
12,L1_SingleMu30,1,1669.35,364.282,0,137.132
13,L1_SingleMu14er2p1,3,3100.22,496.433,874.422,1173.3
14,L1_SingleMu16er2p1,1,6438.93,715.436,476.957,1379.89
15,L1_SingleMu18er2p1,1,4610.59,605.4,0,462.11
16,L1_SingleMu20er2p1,1,3815.66,550.743,0,345.678
17,L1_SingleMu22er2p1,1,2941.24,483.536,0,233.486
20,L1_DoubleMu0,600,158.986,112.42,158.986,158.986
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,874.422,263.648,79.4929,240.662
23,L1_DoubleMu_12_8,1,238.479,137.686,0,12.7655
24,L1_DoubleMu_13_6,1,556.45,210.318,0,65.7779
25,L1_DoubleMu_15_5,1,476.957,194.717,0,96.233
26,L1_DoubleMu_15_7,1,238.479,137.686,0,12.7655
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,317.972,158.986,0,62.6652
30,L1_TripleMu_5_0_0,2,2146.31,413.057,238.479,885.647
31,L1_TripleMu_5_3_3,1,874.422,263.648,0,165.875
32,L1_TripleMu_5_5_3,1,238.479,137.686,0,20.6475
33,L1_QuadMu0,1,476.957,194.717,79.4929,251.728
40,L1_SingleEG5,4000,1192.39,307.875,1112.9,1114.75
41,L1_SingleEG10,1200,715.436,238.479,635.943,651.842
42,L1_SingleEG15,400,476.957,194.717,476.957,476.957
43,L1_SingleEG18,40,1748.84,372.855,1192.39,1241.66
44,L1_SingleEG24,10,2464.28,442.598,476.957,776.738
45,L1_SingleEG26,5,3895.15,556.45,238.479,630.839
46,L1_SingleEG28,4,3974.65,562.1,476.957,1038.36
47,L1_SingleEG30,2,6597.91,724.215,158.986,774.227
48,L1_SingleEG32,1,10413.6,909.838,79.4929,1029.42
49,L1_SingleEG34,1,8505.74,822.281,0,532.553
50,L1_SingleEG36,1,7472.33,770.712,0,421.212
51,L1_SingleEG38,1,6518.42,719.839,0,283.157
52,L1_SingleEG40,1,5405.52,655.515,0,221.513
53,L1_SingleEG45,1,3736.17,544.976,0,99.2671
54,L1_SingleEG34er2p1,1,7154.36,754.136,0,331.141
55,L1_SingleEG36er2p1,1,6279.94,706.548,0,253.524
56,L1_SingleEG38er2p1,1,5564.5,665.085,0,194.961
57,L1_SingleIsoEG18,3,4769.57,615.749,874.422,1360.7
58,L1_SingleIsoEG20,2,5723.49,674.52,0,547.638
59,L1_SingleIsoEG22,1,10572.6,916.757,0,665.221
60,L1_SingleIsoEG24,1,9857.12,885.196,0,506.235
61,L1_SingleIsoEG26,1,9062.19,848.752,0,383.635
62,L1_SingleIsoEG28,1,8108.28,802.839,0,294.523
63,L1_SingleIsoEG30,1,7631.32,778.868,0,260.787
64,L1_SingleIsoEG32,1,6597.91,724.215,0,195.621
65,L1_SingleIsoEG34,1,6120.95,697.547,0,172.365
66,L1_SingleIsoEG36,1,5485.01,660.318,0,142.725
67,L1_SingleIsoEG38,1,5167.04,640.892,0,133.656
68,L1_SingleIsoEG18er2p1,3,4372.11,589.535,556.45,985.838
69,L1_SingleIsoEG20er2p1,1,10493.1,913.304,317.972,1080.33
70,L1_SingleIsoEG22er2p1,1,9618.64,874.422,0,550.375
71,L1_SingleIsoEG24er2p1,1,8903.21,841.274,0,391.389
72,L1_SingleIsoEG26er2p1,1,8267.26,810.672,0,321.784
73,L1_SingleIsoEG28er2p1,1,7392.84,766.602,0,248.571
74,L1_SingleIsoEG30er2p1,1,6995.38,745.71,0,224.771
75,L1_SingleIsoEG32er2p1,1,6041.46,693.003,0,166.832
76,L1_SingleIsoEG34er2p1,1,5564.5,665.085,0,143.576
77,L1_SingleIsoEG36er2p1,1,5008.05,630.955,0,121.162
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
