L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,715.436,238.479,715.436,715.436
4,L1_SingleMu7,120,556.45,210.318,397.465,426.612
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,2,3656.67,539.147,158.986,826.645
8,L1_SingleMu18,1,5485.01,660.318,0,761.683
9,L1_SingleMu20,1,4372.11,589.535,0,482.795
10,L1_SingleMu22,1,3418.2,521.27,0,336.632
11,L1_SingleMu25,1,2464.28,442.598,0,232.674
12,L1_SingleMu30,1,1669.35,364.282,0,145.802
13,L1_SingleMu14er2p1,6,1510.37,346.502,556.45,678.741
14,L1_SingleMu16er2p1,2,3179.72,502.757,0,550.972
15,L1_SingleMu18er2p1,1,4610.59,605.4,0,526.863
16,L1_SingleMu20er2p1,1,3815.66,550.743,0,380.464
17,L1_SingleMu22er2p1,1,2941.24,483.536,0,254.174
20,L1_DoubleMu0,600,158.986,112.42,158.986,158.986
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,874.422,263.648,79.4929,255.84
23,L1_DoubleMu_12_8,1,238.479,137.686,0,13.8009
24,L1_DoubleMu_13_6,1,556.45,210.318,0,70.3565
25,L1_DoubleMu_15_5,1,476.957,194.717,0,97.7374
26,L1_DoubleMu_15_7,1,238.479,137.686,0,13.5684
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,317.972,158.986,79.4929,113.487
30,L1_TripleMu_5_0_0,4,1033.41,286.616,635.943,771.744
31,L1_TripleMu_5_3_3,1,874.422,263.648,0,260.548
32,L1_TripleMu_5_5_3,1,238.479,137.686,0,32.0064
33,L1_QuadMu0,1,476.957,194.717,158.986,317.972
40,L1_SingleEG5,8000,556.45,210.318,476.957,478.945
41,L1_SingleEG10,2000,397.465,177.752,397.465,397.465
42,L1_SingleEG15,800,238.479,137.686,238.479,238.479
43,L1_SingleEG18,100,715.436,238.479,476.957,515.758
44,L1_SingleEG24,20,1192.39,307.875,238.479,307.232
45,L1_SingleEG26,10,1907.83,389.434,238.479,426.792
46,L1_SingleEG28,8,1987.32,397.465,317.972,605.542
47,L1_SingleEG30,4,3259.21,509.003,317.972,617.996
48,L1_SingleEG32,2,5167.04,640.892,79.4929,598.102
49,L1_SingleEG34,1,8505.74,822.281,0,697.854
50,L1_SingleEG36,1,7472.33,770.712,0,524
51,L1_SingleEG38,1,6518.42,719.839,0,331.405
52,L1_SingleEG40,1,5405.52,655.515,0,261.768
53,L1_SingleEG45,1,3736.17,544.976,0,109.576
54,L1_SingleEG34er2p1,1,7154.36,754.136,0,418.398
55,L1_SingleEG36er2p1,1,6279.94,706.548,0,292.24
56,L1_SingleEG38er2p1,1,5564.5,665.085,0,218.883
57,L1_SingleIsoEG18,4,3577.18,533.255,556.45,815.075
58,L1_SingleIsoEG20,3,3815.66,550.743,79.4929,425.692
59,L1_SingleIsoEG22,1,10572.6,916.757,0,799.509
60,L1_SingleIsoEG24,1,9857.12,885.196,0,580.903
61,L1_SingleIsoEG26,1,9062.19,848.752,0,424.473
62,L1_SingleIsoEG28,1,8108.28,802.839,0,324.56
63,L1_SingleIsoEG30,1,7631.32,778.868,0,285.189
64,L1_SingleIsoEG32,1,6597.91,724.215,0,214.054
65,L1_SingleIsoEG34,1,6120.95,697.547,0,187.583
66,L1_SingleIsoEG36,1,5485.01,660.318,0,155.25
67,L1_SingleIsoEG38,1,5167.04,640.892,0,145.488
68,L1_SingleIsoEG18er2p1,4,3259.21,509.003,715.436,858.775
69,L1_SingleIsoEG20er2p1,2,5246.53,645.803,158.986,598.452
70,L1_SingleIsoEG22er2p1,1,9618.64,874.422,0,658.69
71,L1_SingleIsoEG24er2p1,1,8903.21,841.274,0,440.084
72,L1_SingleIsoEG26er2p1,1,8267.26,810.672,0,349.897
73,L1_SingleIsoEG28er2p1,1,7392.84,766.602,0,269.858
74,L1_SingleIsoEG30er2p1,1,6995.38,745.71,0,243.736
75,L1_SingleIsoEG32er2p1,1,6041.46,693.003,0,181.433
76,L1_SingleIsoEG34er2p1,1,5564.5,665.085,0,154.962
77,L1_SingleIsoEG36er2p1,1,5008.05,630.955,0,130.579
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
