seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleIsoEG34,11.304,1,11.304,0.275,0.000,0.000,0.634,1.000
L1_SingleIsoEG35,10.810,1,10.810,0.269,0.000,0.000,0.576,1.000
L1_SingleIsoEG36,10.362,1,10.362,0.263,0.000,0.000,0.531,1.000
L1_SingleIsoEG37,9.887,1,9.887,0.257,0.000,0.000,0.493,1.000
L1_SingleIsoEG38,9.519,1,9.519,0.252,0.000,0.000,0.467,1.000
L1_SingleIsoEG40,8.757,1,8.757,0.242,0.000,0.000,0.416,1.000
L1_SingleIsoEG18er2p1,19.487,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG20er2p1,16.692,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG22er2p1,15.115,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG24er2p1,13.938,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG26er2p1,13.002,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG28er2p1,11.572,190,0.060,0.020,0.007,0.007,0.012,1.000
L1_SingleIsoEG30er2p1,10.669,1,10.669,0.267,0.314,0.046,1.130,1.000
L1_SingleIsoEG32er2p1,9.827,1,9.827,0.256,0.000,0.000,0.629,1.000
L1_SingleIsoEG33er2p1,9.259,1,9.259,0.249,0.000,0.000,0.497,1.000
L1_SingleIsoEG34er2p1,8.717,1,8.717,0.241,0.000,0.000,0.422,1.000
L1_SingleIsoEG35er2p1,8.263,1,8.263,0.235,0.000,0.000,0.374,1.000
L1_SingleIsoEG36er2p1,7.875,1,7.875,0.229,0.000,0.000,0.341,1.000
L1_SingleIsoEG38er2p1,7.113,1,7.113,0.218,0.000,0.000,0.288,1.000
L1_SingleIsoEG40er2p1,6.478,1,6.478,0.208,0.000,0.000,0.252,1.000
L1_IsoEG33_Mt40,10.168,1,10.168,0.261,0.000,0.000,0.585,1.000
L1_IsoEG33_Mt44,9.920,1,9.920,0.258,0.000,0.000,0.566,1.000
L1_IsoEG33_Mt48,9.559,1,9.559,0.253,0.000,0.000,0.536,1.000
L1_DoubleEG_15_10,79.377,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_18_17,4.238,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_20_18,2.681,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_10,15.275,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_12,8.797,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_15,4.753,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_23_10,13.270,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_24_17,2.433,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_12,6.291,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_13,5.268,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_14,4.332,1,4.332,0.170,1.765,0.109,2.249,1.000
L1_DoubleLooseIsoEG22er2p1,0.227,1,0.227,0.039,0.000,0.000,0.005,1.000
L1_DoubleLooseIsoEG24er2p1,0.227,1,0.227,0.039,0.000,0.000,0.005,1.000
L1_TripleEG_14_10_8,27.181,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleEG_18_17_8,1.524,1,1.524,0.101,0.655,0.066,0.884,1.000
L1_SingleTau20,16620.779,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau80er2p1,7.801,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau100er2p1,4.011,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau120er2p1,2.173,1,2.173,0.121,0.007,0.007,0.125,1.000
