L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,715.436,238.479,715.436,715.436
4,L1_SingleMu7,120,556.45,210.318,317.972,382.323
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,2,3656.67,539.147,79.4929,710.724
8,L1_SingleMu18,1,5485.01,660.318,0,692.573
9,L1_SingleMu20,1,4372.11,589.535,0,450.277
10,L1_SingleMu22,1,3418.2,521.27,0,318.212
11,L1_SingleMu25,1,2464.28,442.598,0,220.215
12,L1_SingleMu30,1,1669.35,364.282,0,138.798
13,L1_SingleMu14er2p1,3,3100.22,496.433,953.915,1230.26
14,L1_SingleMu16er2p1,1,6438.93,715.436,476.957,1398.06
15,L1_SingleMu18er2p1,1,4610.59,605.4,0,464.378
16,L1_SingleMu20er2p1,1,3815.66,550.743,0,347.946
17,L1_SingleMu22er2p1,1,2941.24,483.536,0,235.754
20,L1_DoubleMu0,600,158.986,112.42,158.986,158.986
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,874.422,263.648,79.4929,241.233
23,L1_DoubleMu_12_8,1,238.479,137.686,0,13.1268
24,L1_DoubleMu_13_6,1,556.45,210.318,0,66.3485
25,L1_DoubleMu_15_5,1,476.957,194.717,0,96.4422
26,L1_DoubleMu_15_7,1,238.479,137.686,0,12.7655
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,317.972,158.986,0,64.5579
30,L1_TripleMu_5_0_0,2,2146.31,413.057,397.465,1006.12
31,L1_TripleMu_5_3_3,1,874.422,263.648,0,171.742
32,L1_TripleMu_5_5_3,1,238.479,137.686,0,22.5402
33,L1_QuadMu0,1,476.957,194.717,158.986,304.723
40,L1_SingleEG5,8000,556.45,210.318,476.957,478.85
41,L1_SingleEG10,2000,397.465,177.752,397.465,397.465
42,L1_SingleEG15,800,238.479,137.686,238.479,238.479
43,L1_SingleEG18,100,715.436,238.479,476.957,512.603
44,L1_SingleEG24,20,1192.39,307.875,238.479,305.997
45,L1_SingleEG26,10,1907.83,389.434,238.479,423.267
46,L1_SingleEG28,8,1987.32,397.465,317.972,605.221
47,L1_SingleEG30,4,3259.21,509.003,317.972,614.792
48,L1_SingleEG32,2,5167.04,640.892,79.4929,595.817
49,L1_SingleEG34,1,8505.74,822.281,0,693.755
50,L1_SingleEG36,1,7472.33,770.712,0,519.827
51,L1_SingleEG38,1,6518.42,719.839,0,327.528
52,L1_SingleEG40,1,5405.52,655.515,0,258.815
53,L1_SingleEG45,1,3736.17,544.976,0,107.448
54,L1_SingleEG34er2p1,1,7154.36,754.136,0,414.623
55,L1_SingleEG36er2p1,1,6279.94,706.548,0,289.275
56,L1_SingleEG38er2p1,1,5564.5,665.085,0,216.216
57,L1_SingleIsoEG18,3,4769.57,615.749,874.422,1368.6
58,L1_SingleIsoEG20,2,5723.49,674.52,0,560.611
59,L1_SingleIsoEG22,1,10572.6,916.757,0,694.433
60,L1_SingleIsoEG24,1,9857.12,885.196,0,531.473
61,L1_SingleIsoEG26,1,9062.19,848.752,0,407.467
62,L1_SingleIsoEG28,1,8108.28,802.839,0,315.062
63,L1_SingleIsoEG30,1,7631.32,778.868,0,276.744
64,L1_SingleIsoEG32,1,6597.91,724.215,0,208.441
65,L1_SingleIsoEG34,1,6120.95,697.547,0,183.408
66,L1_SingleIsoEG36,1,5485.01,660.318,0,151.077
67,L1_SingleIsoEG38,1,5167.04,640.892,0,141.612
68,L1_SingleIsoEG18er2p1,3,4372.11,589.535,556.45,995.554
69,L1_SingleIsoEG20er2p1,1,10493.1,913.304,317.972,1102
70,L1_SingleIsoEG22er2p1,1,9618.64,874.422,0,572.046
71,L1_SingleIsoEG24er2p1,1,8903.21,841.274,0,409.085
72,L1_SingleIsoEG26er2p1,1,8267.26,810.672,0,338.075
73,L1_SingleIsoEG28er2p1,1,7392.84,766.602,0,261.568
74,L1_SingleIsoEG30er2p1,1,6995.38,745.71,0,236.499
75,L1_SingleIsoEG32er2p1,1,6041.46,693.003,0,176.146
76,L1_SingleIsoEG34er2p1,1,5564.5,665.085,0,151.112
77,L1_SingleIsoEG36er2p1,1,5008.05,630.955,0,127.614
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
