L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,891.906,297.302,891.906,891.906
4,L1_SingleMu7,120,693.704,262.196,396.402,476.627
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,2,4558.63,672.133,99.1006,886.031
8,L1_SingleMu18,1,6837.94,823.192,0,863.403
9,L1_SingleMu20,1,5450.53,734.95,0,561.343
10,L1_SingleMu22,1,4261.33,649.846,0,396.702
11,L1_SingleMu25,1,3072.12,551.769,0,274.534
12,L1_SingleMu30,1,2081.11,454.136,0,173.034
13,L1_SingleMu14er2p1,3,3864.92,618.883,1189.21,1533.72
14,L1_SingleMu16er2p1,1,8027.15,891.906,594.604,1742.9
15,L1_SingleMu18er2p1,1,5747.84,754.728,0,578.921
16,L1_SingleMu20er2p1,1,4756.83,686.589,0,433.77
17,L1_SingleMu22er2p1,1,3666.72,602.806,0,293.905
20,L1_DoubleMu0,600,198.201,140.149,198.201,198.201
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,1090.11,328.68,99.1006,300.735
23,L1_DoubleMu_12_8,1,297.302,171.647,0,16.3646
24,L1_DoubleMu_13_6,1,693.704,262.196,0,82.714
25,L1_DoubleMu_15_5,1,594.604,242.746,0,120.231
26,L1_DoubleMu_15_7,1,297.302,171.647,0,15.9142
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,396.402,198.201,0,80.4817
30,L1_TripleMu_5_0_0,2,2675.72,514.942,495.503,1254.29
31,L1_TripleMu_5_3_3,1,1090.11,328.68,0,214.104
32,L1_TripleMu_5_5_3,1,297.302,171.647,0,28.1
33,L1_QuadMu0,1,594.604,242.746,198.201,379.886
40,L1_SingleEG5,8000,693.704,262.196,594.604,596.963
41,L1_SingleEG10,2000,495.503,221.596,495.503,495.503
42,L1_SingleEG15,800,297.302,171.647,297.302,297.302
43,L1_SingleEG18,100,891.906,297.302,594.604,639.042
44,L1_SingleEG24,20,1486.51,383.815,297.302,381.474
45,L1_SingleEG26,10,2378.41,485.492,297.302,527.67
46,L1_SingleEG28,8,2477.52,495.503,396.402,754.505
47,L1_SingleEG30,4,4063.13,634.554,396.402,766.437
48,L1_SingleEG32,2,6441.54,798.975,99.1006,742.782
49,L1_SingleEG34,1,10603.8,1025.1,0,864.876
50,L1_SingleEG36,1,9315.46,960.816,0,648.047
51,L1_SingleEG38,1,8126.25,897.394,0,408.317
52,L1_SingleEG40,1,6738.84,817.205,0,322.654
53,L1_SingleEG45,1,4657.73,679.4,0,133.951
54,L1_SingleEG34er2p1,1,8919.06,940.151,0,516.894
55,L1_SingleEG36er2p1,1,7828.95,880.826,0,360.627
56,L1_SingleEG38er2p1,1,6937.04,829.135,0,269.548
57,L1_SingleIsoEG18,3,5946.04,767.63,1090.11,1706.18
58,L1_SingleIsoEG20,2,7135.24,840.897,0,698.891
59,L1_SingleIsoEG22,1,13180.4,1142.88,0,865.722
60,L1_SingleIsoEG24,1,12288.5,1103.54,0,662.565
61,L1_SingleIsoEG26,1,11297.5,1058.11,0,507.973
62,L1_SingleIsoEG28,1,10108.3,1000.87,0,392.775
63,L1_SingleIsoEG30,1,9513.66,970.984,0,345.005
64,L1_SingleIsoEG32,1,8225.35,902.85,0,259.855
65,L1_SingleIsoEG34,1,7630.75,869.604,0,228.647
66,L1_SingleIsoEG36,1,6837.94,823.192,0,188.341
67,L1_SingleIsoEG38,1,6441.54,798.975,0,176.542
68,L1_SingleIsoEG18er2p1,3,5450.53,734.95,693.704,1241.12
69,L1_SingleIsoEG20er2p1,1,13081.3,1138.58,396.402,1373.82
70,L1_SingleIsoEG22er2p1,1,11991.2,1090.11,0,713.146
71,L1_SingleIsoEG24er2p1,1,11099.3,1048.78,0,509.99
72,L1_SingleIsoEG26er2p1,1,10306.5,1010.63,0,421.465
73,L1_SingleIsoEG28er2p1,1,9216.36,955.692,0,326.087
74,L1_SingleIsoEG30er2p1,1,8720.85,929.646,0,294.834
75,L1_SingleIsoEG32er2p1,1,7531.65,863.939,0,219.594
76,L1_SingleIsoEG34er2p1,1,6937.04,829.135,0,188.386
77,L1_SingleIsoEG36er2p1,1,6243.34,786.587,0,159.091
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
