id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
43,L1_TripleMu_5_3_3,,1,1,1,1,1,1,1,1,1,x,MU,BASE,Susy:
44,L1_TripleMu_5_5_3,,1,1,1,1,1,1,1,1,1,x,MU,BASE,slim:
45,L1_QuadMu0,,0,0,0,0,0,0,0,0,0,x,MU,BASE,Circulating:
50,L1_SingleEG5,,220000,190000,163000,140000,116000,98000,75000,50000,25000,x,EG,BASE,Cosmics:
51,L1_SingleEG10,,38000,32000,27000,23000,19000,16000,12000,7900,3900,x,EG,BASE,Cosmics:
52,L1_SingleEG15,,9000,7600,6400,5300,4400,3700,2700,1800,900,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
53,L1_SingleEG18,,0,0,0,0,0,0,0,0,0,x,EG,BASE,Cosmics:
54,L1_SingleEG24,,0,0,0,0,0,0,0,1,1,x,EG,BASE,Cosmics:
55,L1_SingleEG26,,780,660,540,440,365,305,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
56,L1_SingleEG28,,0,0,0,0,0,1,1,1,1,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
57,L1_SingleEG30,,0,0,0,0,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
58,L1_SingleEG32,,0,0,0,0,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
59,L1_SingleEG34,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
60,L1_SingleEG36,,0,0,1,1,1,1,1,1,1,x,EG,BASE,slim:
61,L1_SingleEG38,,0,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
62,L1_SingleEG40,,0,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
63,L1_SingleEG42,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
64,L1_SingleEG45,,1,1,1,1,1,1,1,1,1,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
65,L1_SingleEG50,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
66,L1_SingleEG34er2p1,L1_SingleEG34er,0,0,0,1,1,1,1,1,1,x,EG,BASE,slim:
67,L1_SingleEG36er2p1,L1_SingleEG36er,0,0,1,1,1,1,1,1,1,x,EG,BASE,slim:
68,L1_SingleEG38er2p1,L1_SingleEG38er,0,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
69,L1_SingleIsoEG18,,0,0,0,0,0,1,1,1,1,x,EG,BASE,Circulating
70,L1_SingleIsoEG20,,0,0,0,0,1,1,1,1,1,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
71,L1_SingleIsoEG22,,0,0,0,0,1,1,1,1,1,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
72,L1_SingleIsoEG24,,0,0,0,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-89  for L1_IsoEG24er2p1_HTT100
73,L1_SingleIsoEG26,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
74,L1_SingleIsoEG28,,0,0,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
75,L1_SingleIsoEG30,,0,0,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
76,L1_SingleIsoEG32,,1,1,1,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
77,L1_SingleIsoEG34,,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim: additional
78,L1_SingleIsoEG35,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
79,L1_SingleIsoEG36,,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim: additional
80,L1_SingleIsoEG37,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
81,L1_SingleIsoEG38,,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim: additional
82,L1_SingleIsoEG40,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
83,L1_SingleIsoEG18er2p1,L1_SingleIsoEG18er,0,0,0,0,0,1,1,1,1,x,EG,BASE,Circulating
84,L1_SingleIsoEG20er2p1,L1_SingleIsoEG20er,0,0,0,0,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
85,L1_SingleIsoEG22er2p1,L1_SingleIsoEG22er,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
86,L1_SingleIsoEG24er2p1,L1_SingleIsoEG24er,0,0,0,1,1,1,1,1,1,x,EG,BASE,"Top: https://its.cern.ch/jira/browse/CMSLITDPG-89, sync: L1_IsoEG24er2p1_HTT100 rate = 50 Hz"
87,L1_SingleIsoEG26er2p1,L1_SingleIsoEG26er,0,190,1,1,1,1,1,1,1,x,EG,BASE,Top: https://its.cern.ch/jira/browse/CMSLITDPG-89  rate = 50 Hz
88,L1_SingleIsoEG28er2p1,L1_SingleIsoEG28er,190,160,1,1,1,1,1,1,1,x,EG,BASE,Top: https://its.cern.ch/jira/browse/CMSLITDPG-89 rate = 50 Hz
