seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleIsoEG34,10.418,1,10.418,0.530,0.000,0.000,0.575,1.000
L1_SingleIsoEG35,10.122,1,10.122,0.522,0.000,0.000,0.546,1.000
L1_SingleIsoEG36,9.530,1,9.530,0.507,0.000,0.000,0.480,1.000
L1_SingleIsoEG37,9.018,1,9.018,0.493,0.000,0.000,0.440,1.000
L1_SingleIsoEG38,8.803,1,8.803,0.487,0.000,0.000,0.423,1.000
L1_SingleIsoEG40,8.184,1,8.184,0.469,0.000,0.000,0.383,1.000
L1_SingleIsoEG18er2p1,18.656,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG20er2p1,16.045,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG22er2p1,14.187,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG24er2p1,12.949,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG26er2p1,12.006,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleIsoEG28er2p1,11.037,190,0.054,0.038,0.000,0.000,0.006,1.000
L1_SingleIsoEG30er2p1,9.934,1,9.934,0.517,0.242,0.081,1.003,1.000
L1_SingleIsoEG32er2p1,9.072,1,9.072,0.494,0.000,0.000,0.544,1.000
L1_SingleIsoEG33er2p1,8.668,1,8.668,0.483,0.000,0.000,0.446,1.000
L1_SingleIsoEG34er2p1,8.345,1,8.345,0.474,0.000,0.000,0.405,1.000
L1_SingleIsoEG35er2p1,8.049,1,8.049,0.465,0.000,0.000,0.376,1.000
L1_SingleIsoEG36er2p1,7.565,1,7.565,0.451,0.000,0.000,0.332,1.000
L1_SingleIsoEG38er2p1,6.919,1,6.919,0.432,0.000,0.000,0.287,1.000
L1_SingleIsoEG40er2p1,6.353,1,6.353,0.414,0.000,0.000,0.252,1.000
L1_IsoEG33_Mt40,9.126,1,9.126,0.496,0.000,0.000,0.510,1.000
L1_IsoEG33_Mt44,9.045,1,9.045,0.493,0.000,0.000,0.505,1.000
L1_IsoEG33_Mt48,8.695,1,8.695,0.484,0.000,0.000,0.485,1.000
L1_DoubleEG_15_10,58.148,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_18_17,3.769,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_20_18,2.234,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_10,11.360,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_12,6.919,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_22_15,4.415,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_23_10,9.799,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_24_17,2.154,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_12,4.765,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_13,4.146,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleEG_25_14,3.527,1,3.527,0.308,1.831,0.222,2.052,1.000
L1_DoubleLooseIsoEG22er2p1,0.162,1,0.162,0.066,0.000,0.000,0.004,1.000
L1_DoubleLooseIsoEG24er2p1,0.162,1,0.162,0.066,0.000,0.000,0.004,1.000
L1_TripleEG_14_10_8,17.014,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleEG_18_17_8,1.211,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau20,15695.956,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau80er2p1,7.780,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau100er2p1,3.500,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleTau120er2p1,1.911,1,1.911,0.227,0.000,0.000,0.085,1.000
L1_SingleTau130er2p1,1.481,1,1.481,0.200,0.000,0.000,0.050,1.000
L1_SingleTau140er2p1,1.292,1,1.292,0.187,0.000,0.000,0.041,1.000
L1_DoubleTau50er2p1,6.030,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleTau70er2p1,1.777,1,1.777,0.219,0.000,0.000,0.127,1.000
L1_DoubleIsoTau28er2p1,13.164,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau30er2p1,10.876,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau32er2p1,8.830,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau33er2p1,8.238,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau34er2p1,7.538,1,7.538,0.450,0.377,0.101,1.667,1.000
L1_DoubleIsoTau35er2p1,7.053,1,7.053,0.436,0.000,0.000,1.267,1.000
L1_DoubleIsoTau36er2p1,6.676,1,6.676,0.424,0.000,0.000,1.110,1.000
L1_DoubleIsoTau38er2p1,6.246,1,6.246,0.410,0.000,0.000,0.978,1.000
L1_SingleJet16,20180.542,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet20,18702.398,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet35,8854.572,159000,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleJet60,1086.534,1700,0.619,0.129,0.592,0.126,0.606,1.000
L1_SingleJet90,94.356,1500,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleJet120,20.890,350,0.054,0.038,0.027,0.027,0.027,1.000
L1_SingleJet140,9.745,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet150,7.107,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet160,5.492,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet170,4.253,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet180,3.338,1,3.338,0.300,0.108,0.054,0.419,1.000
L1_SingleJet200,2.100,1,2.100,0.238,0.000,0.000,0.121,1.000
L1_SingleJet35_FWD,5203.306,103000,0.027,0.027,0.027,0.027,0.027,1.000
L1_SingleJet60_FWD,553.591,5100,0.108,0.054,0.108,0.054,0.108,1.000
L1_SingleJet90_FWD,25.521,250,0.081,0.047,0.027,0.027,0.043,1.000
L1_SingleJet120_FWD,3.230,40,0.081,0.047,0.027,0.027,0.034,1.000
L1_SingleJet35_HFp,381.489,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet35_HFm,246.537,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet60_HFp,28.374,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet60_HFm,18.225,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet40er3p0,2247.421,8400,0.242,0.081,0.242,0.081,0.242,1.000
L1_DoubleJet50er3p0,716.674,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet60er3p0,214.555,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet80er3p0,27.405,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet100er3p0,8.641,170,0.027,0.027,0.027,0.027,0.027,1.000
L1_DoubleJet112er3p0,5.357,100,0.027,0.027,0.000,0.000,0.009,1.000
L1_DoubleJet120er3p0,3.742,1,3.742,0.317,0.081,0.047,0.587,1.000
L1_DoubleJet150er3p0,1.481,1,1.481,0.200,0.000,0.000,0.095,1.000
L1_TripleJet_84_68_48_VBF,29.155,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleJet_88_72_56_VBF,15.479,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleJet_92_76_64_VBF,7.888,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet40er3p0,522.767,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet50er3p0,106.982,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet60er3p0,17.525,1,17.525,0.687,13.003,0.592,14.019,1.000
L1_HTT120er,565.086,11400,0.027,0.027,0.027,0.027,0.027,1.000
L1_HTT160er,208.660,4100,0.027,0.027,0.000,0.000,0.013,1.000
L1_HTT200er,83.642,1600,0.027,0.027,0.027,0.027,0.027,1.000
L1_HTT220er,55.241,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT240er,36.073,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT255er,27.459,500,0.054,0.038,0.027,0.027,0.036,1.000
L1_HTT270er,21.321,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT280er,16.987,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT300er,11.872,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT320er,8.991,1,8.991,0.492,0.350,0.097,1.642,1.000
L1_HTT340er,6.622,1,6.622,0.422,0.000,0.000,0.761,1.000
