L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,715.436,238.479,715.436,715.436
4,L1_SingleMu7,120,556.45,210.318,317.972,382.323
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,2,3656.67,539.147,79.4929,710.214
8,L1_SingleMu18,1,5485.01,660.318,0,691.051
9,L1_SingleMu20,1,4372.11,589.535,0,448.756
10,L1_SingleMu22,1,3418.2,521.27,0,316.69
11,L1_SingleMu25,1,2464.28,442.598,0,218.694
12,L1_SingleMu30,1,1669.35,364.282,0,137.276
13,L1_SingleMu14er2p1,3,3100.22,496.433,953.915,1229.55
14,L1_SingleMu16er2p1,1,6438.93,715.436,476.957,1396.54
15,L1_SingleMu18er2p1,1,4610.59,605.4,0,462.856
16,L1_SingleMu20er2p1,1,3815.66,550.743,0,346.424
17,L1_SingleMu22er2p1,1,2941.24,483.536,0,234.232
20,L1_DoubleMu0,600,158.986,112.42,158.986,158.986
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,874.422,263.648,79.4929,241.024
23,L1_DoubleMu_12_8,1,238.479,137.686,0,13.1268
24,L1_DoubleMu_13_6,1,556.45,210.318,0,66.1393
25,L1_DoubleMu_15_5,1,476.957,194.717,0,96.233
26,L1_DoubleMu_15_7,1,238.479,137.686,0,12.7655
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,317.972,158.986,0,62.6652
30,L1_TripleMu_5_0_0,2,2146.31,413.057,238.479,885.647
31,L1_TripleMu_5_3_3,1,874.422,263.648,0,165.875
32,L1_TripleMu_5_5_3,1,238.479,137.686,0,20.6475
33,L1_QuadMu0,1,476.957,194.717,79.4929,251.728
40,L1_SingleEG5,8000,556.45,210.318,476.957,478.806
41,L1_SingleEG10,2000,397.465,177.752,397.465,397.465
42,L1_SingleEG15,800,238.479,137.686,238.479,238.479
43,L1_SingleEG18,100,715.436,238.479,476.957,509.196
44,L1_SingleEG24,20,1192.39,307.875,79.4929,219.176
45,L1_SingleEG26,10,1907.83,389.434,238.479,405.239
46,L1_SingleEG28,8,1987.32,397.465,238.479,531.123
47,L1_SingleEG30,4,3259.21,509.003,158.986,509.483
48,L1_SingleEG32,2,5167.04,640.892,0,505.683
49,L1_SingleEG34,1,8505.74,822.281,0,648.663
50,L1_SingleEG36,1,7472.33,770.712,0,501.509
51,L1_SingleEG38,1,6518.42,719.839,0,317.082
52,L1_SingleEG40,1,5405.52,655.515,0,251.26
53,L1_SingleEG45,1,3736.17,544.976,0,105.07
54,L1_SingleEG34er2p1,1,7154.36,754.136,0,374.176
55,L1_SingleEG36er2p1,1,6279.94,706.548,0,275.601
56,L1_SingleEG38er2p1,1,5564.5,665.085,0,210.413
57,L1_SingleIsoEG18,3,4769.57,615.749,874.422,1367.17
58,L1_SingleIsoEG20,2,5723.49,674.52,0,555.419
59,L1_SingleIsoEG22,1,10572.6,916.757,0,686.506
60,L1_SingleIsoEG24,1,9857.12,885.196,0,523.546
61,L1_SingleIsoEG26,1,9062.19,848.752,0,400.773
62,L1_SingleIsoEG28,1,8108.28,802.839,0,310.25
63,L1_SingleIsoEG30,1,7631.32,778.868,0,272.401
64,L1_SingleIsoEG32,1,6597.91,724.215,0,205.203
65,L1_SingleIsoEG34,1,6120.95,697.547,0,180.342
66,L1_SingleIsoEG36,1,5485.01,660.318,0,148.141
67,L1_SingleIsoEG38,1,5167.04,640.892,0,138.751
68,L1_SingleIsoEG18er2p1,3,4372.11,589.535,556.45,993.844
69,L1_SingleIsoEG20er2p1,1,10493.1,913.304,317.972,1095.35
70,L1_SingleIsoEG22er2p1,1,9618.64,874.422,0,565.397
71,L1_SingleIsoEG24er2p1,1,8903.21,841.274,0,402.437
72,L1_SingleIsoEG26er2p1,1,8267.26,810.672,0,332.659
73,L1_SingleIsoEG28er2p1,1,7392.84,766.602,0,258.034
74,L1_SingleIsoEG30er2p1,1,6995.38,745.71,0,233.434
75,L1_SingleIsoEG32er2p1,1,6041.46,693.003,0,173.464
76,L1_SingleIsoEG34er2p1,1,5564.5,665.085,0,148.602
77,L1_SingleIsoEG36er2p1,1,5008.05,630.955,0,125.234
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
