L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,240,891.906,297.302,891.906,891.906
4,L1_SingleMu7,120,693.704,262.196,495.503,535.143
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,4,2279.31,475.27,297.302,622.209
8,L1_SingleMu18,2,3369.42,577.851,0,456.029
9,L1_SingleMu20,1,5450.53,734.95,0,681.027
10,L1_SingleMu22,1,4261.33,649.846,0,467.716
11,L1_SingleMu25,1,3072.12,551.769,0,320.222
12,L1_SingleMu30,1,2081.11,454.136,0,201.718
13,L1_SingleMu14er2p1,6,1882.91,431.97,693.704,860.634
14,L1_SingleMu16er2p1,2,3964.02,626.767,99.1006,809.602
15,L1_SingleMu18er2p1,1,5747.84,754.728,0,764.004
16,L1_SingleMu20er2p1,1,4756.83,686.589,0,535.562
17,L1_SingleMu22er2p1,1,3666.72,602.806,0,347.025
20,L1_DoubleMu0,600,198.201,140.149,198.201,198.201
21,L1_DoubleMu_11_4,0,0,0,0,0
22,L1_DoubleMu_12_5,0,0,0,0,0
23,L1_DoubleMu_12_8,1,297.302,171.647,0,20.292
24,L1_DoubleMu_13_6,1,693.704,262.196,99.1006,142.516
25,L1_DoubleMu_15_5,1,594.604,242.746,198.201,223.999
26,L1_DoubleMu_15_7,1,297.302,171.647,0,19.1909
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,396.402,198.201,99.1006,143.539
30,L1_TripleMu_5_0_0,0,0,0,0,0
31,L1_TripleMu_5_3_3,1,1090.11,328.68,0,328.727
32,L1_TripleMu_5_5_3,1,297.302,171.647,0,41.2919
33,L1_QuadMu0,1,594.604,242.746,198.201,396.402
40,L1_SingleEG5,8000,693.704,262.196,594.604,597.8
41,L1_SingleEG10,2000,495.503,221.596,495.503,495.503
42,L1_SingleEG15,800,297.302,171.647,297.302,297.302
43,L1_SingleEG18,100,891.906,297.302,594.604,673.884
44,L1_SingleEG24,20,1486.51,383.815,297.302,424.986
45,L1_SingleEG26,10,2378.41,485.492,495.503,685.083
46,L1_SingleEG28,8,2477.52,495.503,396.402,771.106
47,L1_SingleEG30,4,4063.13,634.554,495.503,852.869
48,L1_SingleEG32,3,4261.33,649.846,99.1006,618.837
49,L1_SingleEG34,2,5252.33,721.463,0,456.397
50,L1_SingleEG36,1,9315.46,960.816,0,749.246
51,L1_SingleEG38,1,8126.25,897.394,0,488.612
52,L1_SingleEG40,1,6738.84,817.205,0,389.579
53,L1_SingleEG45,1,4657.73,679.4,0,163.592
54,L1_SingleEG34er2p1,1,8919.06,940.151,99.1006,674.96
55,L1_SingleEG36er2p1,1,7828.95,880.826,0,431.371
56,L1_SingleEG38er2p1,1,6937.04,829.135,0,319.388
57,L1_SingleIsoEG18,20,891.906,297.302,99.1006,175.368
58,L1_SingleIsoEG20,10,1387.41,370.801,297.302,412.465
59,L1_SingleIsoEG22,8,1585.61,396.402,99.1006,222.018
60,L1_SingleIsoEG24,4,3072.12,551.769,0,241.424
61,L1_SingleIsoEG26,3,3765.82,610.897,99.1006,320.867
62,L1_SingleIsoEG28,2,5054.13,707.72,0,289.982
63,L1_SingleIsoEG30,1,9513.66,970.984,0,495.784
64,L1_SingleIsoEG32,1,8225.35,902.85,0,342.729
65,L1_SingleIsoEG34,1,7630.75,869.604,0,291.92
66,L1_SingleIsoEG36,1,6837.94,823.192,0,238.109
67,L1_SingleIsoEG38,1,6441.54,798.975,0,222.749
68,L1_SingleIsoEG18er2p1,10,1585.61,396.402,396.402,519.307
69,L1_SingleIsoEG20er2p1,8,1585.61,396.402,396.402,493.275
70,L1_SingleIsoEG22er2p1,4,2973.02,542.796,99.1006,306.198
71,L1_SingleIsoEG24er2p1,3,3666.72,602.806,0,246.697
72,L1_SingleIsoEG26er2p1,2,5153.23,714.625,0,322.248
73,L1_SingleIsoEG28er2p1,1,9216.36,955.692,0,493.087
74,L1_SingleIsoEG30er2p1,1,8720.85,929.646,0,435.003
75,L1_SingleIsoEG32er2p1,1,7531.65,863.939,0,296.105
76,L1_SingleIsoEG34er2p1,1,6937.04,829.135,0,245.296
77,L1_SingleIsoEG36er2p1,1,6243.34,786.587,0,203.873
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
